Plate_well,Sort_id
2_G11,2_G11
2_H1,2_H1
2_H2,2_H2
2_H4,2_H4
2_H5,2_H5
2_H6,2_H6
2_H7,2_H7
2_H9,2_H9
2_H11,2_H11
2_H12,2_H12
3_A2,3_A2
3_A3,3_A3
3_A5,3_A5
3_A6,3_A6
3_A7,3_A7
3_A10,3_A10
3_A11,3_A11
3_B1,3_B1
3_B2,3_B2
3_B3,3_B3
3_B4,3_B4
3_B5,3_B5
3_B6,3_B6
3_B7,3_B7
3_B8,3_B8
3_B9,3_B9
3_B10,3_B10
3_B11,3_B11
3_C1,3_C1
3_C2,3_C2
3_C3,3_C3
3_C4,3_C4
3_C5,3_C5
3_C7,3_C7
3_C8,3_C8
3_C10,3_C10
3_C11,3_C11
3_C12,3_C12
3_D3,3_D3
3_D4,3_D4
3_D5,3_D5
3_D6,3_D6
3_D7,3_D7
3_D8,3_D8
3_D9,3_D9
3_D10,3_D10
3_D11,3_D11
3_D12,3_D12
3_E1,3_E1
3_E2,3_E2
3_E4,3_E4
3_E5,3_E5
3_E6,3_E6
3_E7,3_E7
3_E8,3_E8
3_E9,3_E9
3_E11,3_E11
3_E12,3_E12
3_F1,3_F1
3_F2,3_F2
3_F3,3_F3
3_F5,3_F5
3_F6,3_F6
3_F7,3_F7
3_F8,3_F8
3_F9,3_F9
3_F11,3_F11
3_F12,3_F12
3_G1,3_G1
3_G4,3_G4
3_G5,3_G5
3_G6,3_G6
3_G7,3_G7
3_G8,3_G8
3_G10,3_G10
3_G11,3_G11
3_G12,3_G12
3_H1,3_H1
3_H2,3_H2
3_H3,3_H3
3_H5,3_H5
3_H6,3_H6
3_H7,3_H7
3_H8,3_H8
3_H9,3_H9
3_H10,3_H10
4_A1,4_A1
4_A4,4_A4
4_A5,4_A5
4_A6,4_A6
4_A7,4_A7
4_A8,4_A8
4_A9,4_A9
4_A10,4_A10
4_A12,4_A12
4_B1,4_B1
4_B3,4_B3
4_B4,4_B4
4_B5,4_B5
4_B6,4_B6
4_B7,4_B7
4_B10,4_B10
4_B11,4_B11
4_B12,4_B12
4_C1,4_C1
4_C2,4_C2
4_C3,4_C3
4_C4,4_C4
4_C6,4_C6
4_C8,4_C8
4_C9,4_C9
4_C12,4_C12
4_D1,4_D1
4_D2,4_D2
4_D3,4_D3
4_D5,4_D5
4_D6,4_D6
4_D7,4_D7
4_D8,4_D8
4_D9,4_D9
4_D10,4_D10
4_D11,4_D11
4_D12,4_D12
4_E2,4_E2
4_E3,4_E3
4_E5,4_E5
4_E6,4_E6
4_E7,4_E7
4_E8,4_E8
4_E10,4_E10
4_E11,4_E11
4_E12,4_E12
4_F1,4_F1
4_F2,4_F2
4_F3,4_F3
4_F4,4_F4
4_F5,4_F5
4_F6,4_F6
4_F7,4_F7
4_F9,4_F9
4_F10,4_F10
4_F11,4_F11
4_F12,4_F12
4_G3,4_G3
4_G4,4_G4
4_G5,4_G5
4_G6,4_G6
4_G7,4_G7
4_G8,4_G8
4_G9,4_G9
4_G10,4_G10
4_G11,4_G11
4_H2,4_H2
4_H3,4_H3
4_H4,4_H4
4_H6,4_H6
4_H7,4_H7
4_H8,4_H8
4_H10,4_H10
4_H12,4_H12
5_A1,5_A1
5_A2,5_A2
5_A3,5_A3
5_A4,5_A4
5_A5,5_A5
5_A6,5_A6
5_A7,5_A7
5_A8,5_A8
5_A9,5_A9
5_A10,5_A10
5_A11,5_A11
5_A12,5_A12
5_B4,5_B4
5_B5,5_B5
5_B6,5_B6
5_B7,5_B7
5_B9,5_B9
5_B10,5_B10
5_C4,5_C4
5_C6,5_C6
5_C7,5_C7
5_C8,5_C8
5_C9,5_C9
5_C10,5_C10
5_C11,5_C11
5_C12,5_C12
5_D1,5_D1
5_D2,5_D2
5_D3,5_D3
5_D4,5_D4
5_D5,5_D5
5_D6,5_D6
5_D7,5_D7
5_D8,5_D8
5_D11,5_D11
5_E1,5_E1
5_E2,5_E2
5_E3,5_E3
5_E4,5_E4
5_E5,5_E5
5_E6,5_E6
5_E7,5_E7
5_E8,5_E8
5_E9,5_E9
5_E10,5_E10
5_E11,5_E11
5_E12,5_E12
5_F2,5_F2
5_F3,5_F3
5_F5,5_F5
5_F7,5_F7
5_F8,5_F8
5_F9,5_F9
5_F10,5_F10
5_G1,5_G1
5_G3,5_G3
5_G4,5_G4
5_G5,5_G5
5_G7,5_G7
5_G8,5_G8
5_G9,5_G9
5_G10,5_G10
5_G11,5_G11
5_G12,5_G12
5_H1,5_H1
5_H2,5_H2
5_H3,5_H3
5_H4,5_H4
5_H5,5_H5
5_H6,5_H6
5_H9,5_H9
5_H10,5_H10
5_H12,5_H12
6_A1,6_A1
6_A2,6_A2
6_A3,6_A3
6_A5,6_A5
6_A6,6_A6
6_A8,6_A8
6_A10,6_A10
6_A11,6_A11
6_A12,6_A12
6_B3,6_B3
6_B4,6_B4
6_B5,6_B5
6_B6,6_B6
6_B7,6_B7
6_B8,6_B8
6_B9,6_B9
6_B10,6_B10
6_B12,6_B12
6_C1,6_C1
6_C3,6_C3
6_C4,6_C4
6_C6,6_C6
6_C7,6_C7
6_C9,6_C9
6_C11,6_C11
6_C12,6_C12
6_D1,6_D1
6_D2,6_D2
6_D3,6_D3
6_D4,6_D4
6_D5,6_D5
6_D6,6_D6
6_D7,6_D7
6_D8,6_D8
6_D10,6_D10
6_D11,6_D11
6_D12,6_D12
6_E1,6_E1
6_E2,6_E2
6_E3,6_E3
6_E5,6_E5
6_E6,6_E6
6_E7,6_E7
6_E8,6_E8
6_E9,6_E9
6_E10,6_E10
6_E11,6_E11
6_E12,6_E12
6_F1,6_F1
6_F2,6_F2
6_F3,6_F3
6_F4,6_F4
6_F5,6_F5
6_F7,6_F7
6_F8,6_F8
6_F9,6_F9
6_F10,6_F10
6_F11,6_F11
6_G1,6_G1
6_G3,6_G3
6_G4,6_G4
6_G6,6_G6
6_G8,6_G8
6_G9,6_G9
6_G10,6_G10
6_G11,6_G11
6_H4,6_H4
6_H5,6_H5
6_H6,6_H6
6_H8,6_H8
6_H9,6_H9
6_H10,6_H10
6_H12,6_H12
7_A1,7_A1
7_A3,7_A3
7_A4,7_A4
7_A6,7_A6
7_A7,7_A7
7_A8,7_A8
7_A9,7_A9
7_A10,7_A10
7_A11,7_A11
7_A12,7_A12
7_B1,7_B1
7_B2,7_B2
7_B4,7_B4
7_B6,7_B6
7_B8,7_B8
7_B9,7_B9
7_B10,7_B10
7_B11,7_B11
7_B12,7_B12
7_C3,7_C3
7_C5,7_C5
7_C6,7_C6
7_C7,7_C7
7_C8,7_C8
7_C9,7_C9
7_C10,7_C10
7_C12,7_C12
7_D2,7_D2
7_D3,7_D3
7_D4,7_D4
7_D5,7_D5
7_D7,7_D7
7_D8,7_D8
7_D9,7_D9
7_D10,7_D10
7_D11,7_D11
7_D12,7_D12
7_E2,7_E2
7_E5,7_E5
7_E8,7_E8
7_E9,7_E9
7_E11,7_E11
7_E12,7_E12
7_F3,7_F3
7_F4,7_F4
7_F5,7_F5
7_F7,7_F7
7_F8,7_F8
7_F11,7_F11
7_F12,7_F12
7_G2,7_G2
7_G3,7_G3
7_G5,7_G5
7_G6,7_G6
7_G7,7_G7
7_G8,7_G8
7_G9,7_G9
7_G11,7_G11
7_H1,7_H1
7_H2,7_H2
7_H4,7_H4
7_H5,7_H5
7_H6,7_H6
7_H7,7_H7
7_H8,7_H8
7_H9,7_H9
7_H10,7_H10
7_H11,7_H11
7_H12,7_H12
8_A1,8_A1
8_A3,8_A3
8_A7,8_A7
8_A8,8_A8
8_A10,8_A10
8_A11,8_A11
8_A12,8_A12
8_B1,8_B1
8_B2,8_B2
8_B4,8_B4
8_B6,8_B6
8_B7,8_B7
8_B8,8_B8
8_B9,8_B9
8_B11,8_B11
8_B12,8_B12
8_C2,8_C2
8_C3,8_C3
8_C4,8_C4
8_C5,8_C5
8_C6,8_C6
8_C7,8_C7
8_C9,8_C9
8_C11,8_C11
8_C12,8_C12
8_D2,8_D2
8_D3,8_D3
8_D4,8_D4
8_D5,8_D5
8_D6,8_D6
8_D8,8_D8
8_D9,8_D9
8_D10,8_D10
8_D11,8_D11
8_D12,8_D12
8_E1,8_E1
8_E2,8_E2
8_E3,8_E3
8_E5,8_E5
8_E6,8_E6
8_E7,8_E7
8_E8,8_E8
8_E9,8_E9
8_E10,8_E10
8_E11,8_E11
8_E12,8_E12
8_F1,8_F1
8_F2,8_F2
8_F3,8_F3
8_F7,8_F7
8_F9,8_F9
8_F11,8_F11
8_F12,8_F12
8_G2,8_G2
8_G3,8_G3
8_G5,8_G5
8_G6,8_G6
8_G8,8_G8
8_G9,8_G9
8_G10,8_G10
8_G11,8_G11
8_H1,8_H1
8_H4,8_H4
8_H5,8_H5
8_H6,8_H6
8_H7,8_H7
8_H8,8_H8
8_H9,8_H9
8_H10,8_H10
8_H12,8_H12
9_A1,10_A1
9_A2,10_A2
9_A3,10_A3
9_A4,10_A4
9_A5,10_A5
9_A6,10_A6
9_A7,10_A7
9_A9,10_A9
9_A10,10_A10
9_A11,10_A11
9_A12,10_A12
9_B1,10_B1
9_B2,10_B2
9_B3,10_B3
9_B4,10_B4
9_B5,10_B5
9_B6,10_B6
9_B8,10_B8
9_B9,10_B9
9_B10,10_B10
9_B12,10_B12
9_C3,10_C3
9_C5,10_C5
9_C6,10_C6
9_C7,10_C7
9_C8,10_C8
9_C9,10_C9
9_C11,10_C11
9_D3,10_D3
9_D4,10_D4
9_D5,10_D5
9_D7,10_D7
9_D8,10_D8
9_D9,10_D9
9_D11,10_D11
9_D12,10_D12
9_E1,10_E1
9_E2,10_E2
9_E3,10_E3
9_E4,10_E4
9_E5,10_E5
9_E6,10_E6
9_E7,10_E7
9_E8,10_E8
9_E9,10_E9
9_E10,10_E10
9_E11,10_E11
9_E12,10_E12
9_F1,9_A1
9_F8,10_F8
9_F10,10_F10
9_F11,10_F11
9_F12,10_F12
