sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
LEUK5-P1-C8-wellin384plt-83_S146_L001,163,25,0,188,230,234,42
LEUK5-P4-A5-wellin384plt-329_S117_L001,8,2009,0,2017,2217,2322,200
LEUK5-P1-B3-wellin384plt-27_S134_L001,2,7721,0,7723,9517,9850,1794
LEUK5-P4-A11-wellin384plt-34_S233_L001,2,5438,0,5440,8514,8688,3074
LEUK5-P4-A10-wellin384plt-22_S323_L001,0,123,0,123,195,198,72
LEUK5-P1-C10-wellin384plt-105_S61_L001,2,951,1,954,3454,3488,2500
D0plt-H12-HSC-1-wellin384plt-366_S319_L001,0,7525,0,7525,9421,9692,1896
LEUK5-P4-E6-wellin384plt-349_S215_L001,0,68,0,68,2180,2198,2112
D0plt-A7-HSC-1-wellin384plt-272_S296_L001,0,23,0,23,3209,3216,3186
D0plt-G12-HSC-1-wellin384plt-364_S318_L001,0,178,0,178,2394,2400,2216
LEUK5-P1-F5-wellin384plt-55_S140_L001,2948,1903,112,4963,5189,5264,226
LEUK5-P5-E11-wellin384plt-168_S268_L001,233,627,18,878,3020,3050,2142
LEUK5-P2-E11-wellin384plt-265_S101_L001,0,39,0,39,3449,3460,3410
LEUK5-P1-G1-wellin384plt-11_S38_L001,924,6599,104,7627,10277,10558,2650
LEUK5-P4-E1-wellin384plt-285_S199_L001,1,5811,0,5812,8458,8600,2646
LEUK5-P5-D6-wellin384plt-118_S347_L001,1,38,0,39,507,512,468
LEUK5-P4-B2-wellin384plt-293_S107_L001,3777,3092,31,6900,8162,8430,1262
LEUK5-P4-F9-wellin384plt-16_S232_L001,1,23,0,24,1712,1716,1688
LEUK5-P4-H2-wellin384plt-303_S112_L001,0,4,0,4,18,18,14
LEUK5-P2-H2-wellin384plt-159_S168_L001,713,14,22,749,787,806,38
LEUK5-P2-B10-wellin384plt-249_S189_L001,0,14,0,14,1676,1678,1662
LEUK5-P4-C4-wellin384plt-319_S208_L001,0,29,0,29,51,52,22
LEUK5-P5-B1-wellin384plt-60_S334_L001,5691,4742,357,10790,12276,12594,1486
LEUK5-P5-G3-wellin384plt-88_S340_L001,0,1505,0,1505,3381,3444,1876
LEUK5-P1-A5-wellin384plt-51_S138_L001,283,664,5,952,2520,2558,1568
D0plt-F4-GMP-1-wellin384plt-234_S285_L001,0,9,0,9,3207,3214,3198
LEUK5-P1-E1-wellin384plt-7_S36_L001,2165,3863,26,6054,8052,8216,1998
LEUK5-P2-B9-wellin384plt-237_S95_L001,1290,1159,149,2598,4052,4116,1454
