"Plate_well","exp","fcs.name","SingleCells.count","NonEry.count","CD56neg.count","CD14neg.count","IntermediateNeut.count","IntermediateNeut.freq.of.CD14neg","MatureNeut.count","MatureNeut.freq.of.CD14neg","MatureNeut.FSC.A","MatureNeut.SSC.A","EarlyNeut.count","EarlyNeut.freq.of.CD14neg","Mono.count","Mono.freq.of.NonEry","Mono.freq.of.CD56neg","Mono.CD11b.Median","Mono.CD14.Median","Mono.FSC.A","Mono.SSC.A","Mono2.count","Mono2.freq.of.NonEry","Mono2.freq.of.CD56neg","Mono2.CD11b.Median","Mono2.CD14.Median","Mono2.FSC.A","Mono2.SSC.A","Ery.count","IntermediateNeut.FSC.A","IntermediateNeut.SSC.A","EarlyNeut.FSC.A","EarlyNeut.SSC.A","CD66bNeut.CD11b.Median","CD66bNeut.CD66b.Median","CD66bNeut.FSC.A","CD66bNeut.SSC.A","TrueFalse"
"14_B09","ARCH4","PLATE 14_B9_B09_021.fcs",42979,41846,41840,2852,541,19,27,0.95,122432,116672,1926,67.5,37643,90,90,3107,2350,105408,122880,37472,89.5,89.6,3107,2350,122880,105344,0,114304,95872,96448,80640,389,8099,114432,96000,"TRUE"
"14_B10","ARCH4","PLATE 14_B10_B10_022.fcs",32821,18896,18818,3127,182,5.82,34,1.09,113792,99392,1917,61.3,12728,67.4,67.6,1649,2495,87616,91968,12683,67.1,67.4,1649,2495,91968,87552,134,104128,85568,88960,86848,540,20961,105024,87616,"TRUE"
"14_B11","ARCH4","PLATE 14_B11_B11_023.fcs",18773,18556,18554,14693,7488,51,6927,47.1,99456,90112,45,0.31,2303,12.4,12.4,4133,1080,107776,123712,996,5.37,5.37,6390,2359,168128,117568,0,100736,84160,100480,76032,800,33196,100160,86912,"TRUE"
"14_B12","ARCH4","PLATE 14_B12_B12_024.fcs",15215,15132,15131,13543,9082,67.1,3540,26.1,109120,92608,301,2.22,512,3.38,3.38,1994,895,111552,105920,120,0.79,0.79,2843,1302,118272,94784,0,107264,84352,101120,80384,608,22342,107776,86336,"TRUE"
"14_C01","ARCH4","PLATE 14_C1_C01_025.fcs",35,33,32,2,0,0,1,50,98496,84032,1,50,13,39.4,40.6,2837,9364,109312,149120,13,39.4,40.6,2837,9364,149120,109312,0,NA,NA,99264,96640,1002,46083,98496,84032,"TRUE"
"14_C02","ARCH4","PLATE 14_C2_C02_026.fcs",27264,22285,22279,2202,35,1.59,17,0.77,93184,94720,1055,47.9,19224,86.3,86.3,3483,2457,109440,139456,19091,85.7,85.7,3483,2457,139200,109376,3,93888,81408,93376,90496,676,22395,93184,82368,"TRUE"
"14_C03","ARCH4","PLATE 14_C3_C03_027.fcs",43332,33282,33274,7581,2584,34.1,431,5.69,104704,91328,3510,46.3,23952,72,72,2911,2240,99776,120128,23656,71.1,71.1,2917,2249,120192,99712,12,108096,91648,100544,92416,488,11800,107456,91392,"TRUE"
"14_C04","ARCH4","PLATE 14_C4_C04_028.fcs",2957,2825,2825,2294,6,0.26,55,2.4,131584,179520,28,1.22,123,4.35,4.35,2148,580,143296,212032,18,0.64,0.64,2310,707,160128,112640,35,107008,112768,83968,104128,1677,5257,136512,199360,"TRUE"
"14_C05","ARCH4","PLATE 14_C5_C05_029.fcs",4065,3997,3997,2996,156,5.21,170,5.67,115712,121472,35,1.17,311,7.78,7.78,2283,614,147584,184960,14,0.35,0.35,1606,697,156160,127552,0,102272,86912,104128,108096,1325,7080,122240,128896,"TRUE"
"14_C06","ARCH4","PLATE 14_C6_C06_030.fcs",90,24,19,18,0,0,1,5.56,102784,157504,1,5.56,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,9,NA,NA,58944,93632,1892,8099,102784,157504,"TRUE"
"14_C07","ARCH4","PLATE 14_C7_C07_031.fcs",1273,1270,1268,231,0,0,0,0,NA,NA,63,27.3,859,67.6,67.7,3113,6404,101952,109120,856,67.4,67.5,3113,6404,109120,101952,0,NA,NA,96192,92160,NA,NA,NA,NA,"TRUE"
"14_C08","ARCH4","PLATE 14_C8_C08_032.fcs",5588,5515,5504,4452,35,0.79,28,0.63,118144,153152,102,2.29,249,4.51,4.52,2405,561,137536,189184,10,0.18,0.18,1573,652,115328,92672,3,105920,91776,79168,84992,2181,4934,137472,199424,"TRUE"
"14_C09","ARCH4","PLATE 14_C9_C09_033.fcs",576,565,564,76,0,0,0,0,NA,NA,43,56.6,1,0.18,0.18,1012,4032,179712,148480,1,0.18,0.18,1012,4032,148480,179712,0,NA,NA,111104,83648,NA,NA,NA,NA,"TRUE"
"14_C10","ARCH4","PLATE 14_C10_C10_034.fcs",394,386,385,249,0,0,0,0,NA,NA,157,63.1,7,1.81,1.82,1715,1683,111488,127808,7,1.81,1.82,1715,1683,127808,111488,0,NA,NA,110208,88960,NA,NA,NA,NA,"TRUE"
"14_C11","ARCH4","PLATE 14_C11_C11_035.fcs",107,24,20,20,0,0,0,0,NA,NA,2,10,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,5,NA,NA,55488,66624,NA,NA,NA,NA,"TRUE"
"14_C12","ARCH4","PLATE 14_C12_C12_036.fcs",26211,25374,25370,16449,13059,79.4,2131,13,99648,87040,232,1.41,7217,28.4,28.4,5359,1489,108288,135488,3707,14.6,14.6,6015,1979,152640,115200,3,107776,82496,100672,76480,417,23594,106304,82752,"TRUE"
"14_D01","ARCH4","PLATE 14_D1_D01_037.fcs",79133,28315,28250,6211,5,0.081,3,0.048,129920,122176,3215,51.8,17740,62.7,62.8,1462,2002,89728,93888,17719,62.6,62.7,1462,2002,93888,89728,3435,97024,81344,95552,86272,484,19031,97024,86208,"TRUE"
"14_D02","ARCH4","PLATE 14_D2_D02_038.fcs",30382,17248,17247,5042,1311,26,124,2.46,123840,116096,2269,45,10591,61.4,61.4,2068,1784,95424,115520,10515,61,61,2064,1788,115264,95296,231,107136,86144,89856,82496,465,12904,107904,88000,"TRUE"
"14_D03","ARCH4","PLATE 14_D3_D03_039.fcs",3836,3798,3798,2072,933,45,1029,49.7,92480,94592,4,0.19,1308,34.4,34.4,3754,1177,112384,149248,457,12,12,4821,1748,183360,127296,1,92480,98048,62336,63808,862,41732,92480,96320,"TRUE"
"14_D04","ARCH4","PLATE 14_D4_D04_040.fcs",13883,13798,13797,11940,8690,72.8,2443,20.5,108864,94144,255,2.14,920,6.67,6.67,2899,974,105344,112832,474,3.44,3.44,4334,1172,127424,101760,0,108928,86912,109632,81536,562,21060,108864,88192,"TRUE"
"14_D05","ARCH4","PLATE 14_D5_D05_041.fcs",31986,30965,30961,21624,13524,62.5,2986,13.8,112768,97536,2184,10.1,7847,25.3,25.3,4016,1114,107904,133568,7138,23.1,23.1,4133,1163,137088,108672,2,110592,84864,105600,78784,558,15384,110848,86464,"TRUE"
"14_D06","ARCH4","PLATE 14_D6_D06_042.fcs",14332,13950,13948,7655,5751,75.1,675,8.82,94656,90624,478,6.24,5165,37,37,3746,1018,114240,149312,3383,24.3,24.3,3959,1170,159552,119040,0,107840,92608,93056,78336,420,18545,106112,92608,"TRUE"
"14_D07","ARCH4","PLATE 14_D7_D07_043.fcs",14179,11450,11388,2977,890,29.9,143,4.8,116416,109056,1526,51.3,7703,67.3,67.6,3597,3366,120960,174912,7455,65.1,65.5,3590,3462,174080,120704,19,105920,85632,98752,91968,546,15241,106368,87808,"TRUE"
"14_D08","ARCH4","PLATE 14_D8_D08_044.fcs",5702,5650,5649,3721,618,16.6,55,1.48,106496,95936,2363,63.5,1087,19.2,19.2,2826,2275,98688,125120,1071,19,19,2837,2292,125184,98624,0,111104,96192,113152,95360,437,6002,110784,95744,"TRUE"
"14_D09","ARCH4","PLATE 14_D9_D09_045.fcs",5084,4491,4489,3416,1119,32.8,1382,40.5,91776,87552,27,0.79,444,9.89,9.89,2266,789,103744,114880,18,0.4,0.4,2963,1798,147264,98304,181,89728,78400,78976,103296,923,22608,91456,83328,"TRUE"
"14_D10","ARCH4","PLATE 14_D10_D10_046.fcs",5271,5221,5219,2356,1455,61.8,615,26.1,95872,79808,38,1.61,2178,41.7,41.7,5652,1549,114176,146432,1535,29.4,29.4,6488,1983,163776,120192,1,105024,82112,85888,76480,528,24334,102464,81600,"TRUE"
"14_D11","ARCH4","PLATE 14_D11_D11_047.fcs",15335,14286,14280,3396,1774,52.2,858,25.3,94016,95680,458,13.5,10359,72.5,72.5,4057,2639,111552,160704,9525,66.7,66.7,4159,2739,163584,113024,0,96448,90496,92864,96000,642,38910,95744,92352,"TRUE"
"14_D12","ARCH4","PLATE 14_D12_D12_048.fcs",3,2,2,1,1,100,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,109184,81856,NA,NA,788,63821,109184,81856,"FALSE"
"14_E01","ARCH4","PLATE 14_E1_E01_049.fcs",8879,7975,7972,1089,696,63.9,118,10.8,92544,87808,43,3.95,6606,82.8,82.9,5169,2400,135488,205696,6220,78,78,5235,2471,208000,136640,3,104448,85120,90368,96192,378,27541,101696,85824,"TRUE"
"14_E02","ARCH4","PLATE 14_E2_E02_050.fcs",22415,6931,6926,1769,200,11.3,54,3.05,129920,115520,873,49.3,4571,66,66,1842,2156,93056,118272,4524,65.3,65.3,1839,2164,118016,92864,594,108288,91008,88960,88128,628,8581,112832,97408,"TRUE"
"14_E03","ARCH4","PLATE 14_E3_E03_051.fcs",3388,3377,3377,2478,1266,51.1,986,39.8,95872,97728,20,0.81,407,12.1,12.1,2328,962,102592,115136,74,2.19,2.19,6446,1815,151616,117248,0,96448,84544,88448,83072,772,16926,96128,91136,"TRUE"
"14_E04","ARCH4","PLATE 14_E4_E04_052.fcs",24489,23825,23820,14922,11356,76.1,2571,17.2,100096,91904,207,1.39,7374,31,31,5125,1470,109824,139456,4200,17.6,17.6,5701,1957,157888,117184,0,108800,87424,97088,73984,519,24218,107264,88128,"TRUE"
"14_E05","ARCH4","PLATE 14_E5_E05_053.fcs",11164,3650,3647,3323,3,0.09,14,0.42,114368,177152,272,8.19,62,1.7,1.7,2270,649,129664,198464,22,0.6,0.6,2181,673,186816,118208,4049,111488,92480,95936,129152,1744,4167,143104,215744,"TRUE"
"14_E06","ARCH4","PLATE 14_E6_E06_054.fcs",11492,10913,10913,1179,689,58.4,234,19.8,94272,88896,60,5.09,9323,85.4,85.4,4566,2244,129536,189696,8375,76.7,76.7,4662,2373,193600,131648,2,106688,83712,90496,109312,460,33356,102208,85056,"TRUE"
"14_E07","ARCH4","PLATE 14_E7_E07_055.fcs",31643,26258,26199,10628,4780,45,788,7.41,105536,94528,1775,16.7,14517,55.3,55.4,3561,2160,102208,122688,13849,52.7,52.9,3619,2240,124032,102464,221,107200,86016,96000,77952,516,19901,107136,86976,"TRUE"
"14_E08","ARCH4","PLATE 14_E8_E08_056.fcs",3272,3183,3180,612,59,9.64,1,0.16,142400,132992,471,77,2172,68.2,68.3,3959,4380,103424,118528,2168,68.1,68.2,3950,4389,118464,103296,0,113600,92160,105408,83968,347,6674,113600,92160,"TRUE"
"14_E09","ARCH4","PLATE 14_E9_E09_057.fcs",30128,23504,23498,9066,3569,39.4,335,3.7,122368,117440,3762,41.5,12824,54.6,54.6,2697,2033,97728,118720,12505,53.2,53.2,2702,2060,118400,97600,3,107136,88064,95296,85632,493,13144,107968,89344,"TRUE"
"14_E10","ARCH4","PLATE 14_E10_E10_058.fcs",3387,3336,3336,2527,176,6.96,392,15.5,126208,144192,11,0.44,228,6.83,6.83,2177,617,153408,178432,12,0.36,0.36,1561,1095,153536,137024,0,112448,96768,103168,97856,1373,7237,128192,142144,"TRUE"
"14_E11","ARCH4","PLATE 14_E11_E11_059.fcs",13105,13069,13065,9588,6486,67.6,2883,30.1,104896,88000,31,0.32,2156,16.5,16.5,5169,1119,108992,121152,1001,7.66,7.66,7381,1696,159040,114880,0,106240,83200,92608,79296,611,31716,105728,84416,"TRUE"
"14_E12","ARCH4","PLATE 14_E12_E12_060.fcs",200,198,198,10,0,0,5,50,82112,92992,1,10,150,75.8,75.8,5007,8355,100608,117888,24,12.1,12.1,9577,4701,196864,137344,0,NA,NA,92672,76416,2681,32643,79744,92992,"TRUE"
"14_F01","ARCH4","PLATE 14_F1_F01_061.fcs",37393,36802,36802,34002,24391,71.7,5434,16,103872,94016,157,0.46,1797,4.88,4.88,3671,1156,105216,130432,858,2.33,2.33,4614,1794,154880,109696,0,105472,84928,109568,80512,550,18720,105152,86464,"TRUE"
"14_F02","ARCH4","PLATE 14_F2_F02_062.fcs",8927,8877,8876,6414,521,8.12,2376,37,97664,94720,29,0.45,1125,12.7,12.7,2549,760,98048,103488,45,0.51,0.51,3483,1168,145216,103488,0,93824,83456,94464,108288,1407,18986,97280,94080,"TRUE"
"14_F03","ARCH4","PLATE 14_F3_F03_063.fcs",1428,1270,1264,1077,2,0.19,23,2.14,118272,170048,30,2.79,45,3.54,3.56,2350,603,139008,224768,3,0.24,0.24,1612,879,134016,100416,48,89600,96000,77440,96896,1484,5497,127424,186368,"TRUE"
