Well,All Events #Events,All Events %Parent,All Events FSC-A Geo Mean,All Events FSC-A Mean,All Events FSC-A Median,All Events FSC-W Geo Mean,All Events FSC-W Mean,All Events FSC-W Median,All Events SSC-A Geo Mean,All Events SSC-A Mean,All Events SSC-A Median,All Events CD33 640 670/30-A Geo Mean,All Events CD33 640 670/30-A Mean,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Geo Mean,All Events CD45RA 640 730/45-A Mean,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Geo Mean,All Events CD34 640 780/60-A Mean,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Geo Mean,All Events CD90 561 582/15-A Mean,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Geo Mean,All Events CD49F 561 670/14-A Mean,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Geo Mean,All Events CD38 561 780/60-A Mean,All Events CD38 561 780/60-A Median,All Events Lin 488 530/30-A Geo Mean,All Events Lin 488 530/30-A Mean,All Events Lin 488 530/30-A Median,All Events CD7/10 V405 450/50-A Geo Mean,All Events CD7/10 V405 450/50-A Mean,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Geo Mean,All Events L/D V405 525/50-A Mean,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Geo Mean,All Events CD45 V405 780/60-A Mean,All Events CD45 V405 780/60-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A11,1,,"121,453","121,453","121,453","86,806","86,806","86,806","87,038","87,038","87,038",,-232,-232,80,80,80,"2,274","2,274","2,274",157,157,157,"12,149","12,149","12,149",,-256,-256,799,799,799,956,956,956,436,436,436,"2,853","2,853","2,853","23,406","23,406","23,406"
A12,1,,"126,638","126,638","126,638","88,697","88,697","88,697","65,003","65,003","65,003",173,173,173,38,38,38,891,891,891,7,7,7,"4,298","4,298","4,298",89,89,89,763,763,763,727,727,727,146,146,146,"1,711","1,711","1,711","23,616","23,616","23,616"
B1,1,,"123,117","123,117","123,117","90,611","90,611","90,611","49,125","49,125","49,125",,-16,-16,,-12,-12,724,724,724,,-2,-2,"2,811","2,811","2,811",74,74,74,677,677,677,573,573,573,145,145,145,"1,556","1,556","1,556","26,383","26,383","26,383"
B2,1,,"122,911","122,911","122,911","88,836","88,836","88,836","56,843","56,843","56,843",62,62,62,24,24,24,"1,140","1,140","1,140",706,706,706,866,866,866,92,92,92,806,806,806,854,854,854,177,177,177,"1,046","1,046","1,046","26,178","26,178","26,178"
B3,1,,"116,689","116,689","116,689","87,098","87,098","87,098","53,167","53,167","53,167",,-29,-29,,-12,-12,"1,718","1,718","1,718",95,95,95,"7,310","7,310","7,310",,-45,-45,636,636,636,157,157,157,200,200,200,"1,376","1,376","1,376","25,943","25,943","25,943"
B4,1,,"92,488","92,488","92,488","85,261","85,261","85,261","74,079","74,079","74,079",,-5,-5,2,2,2,"1,352","1,352","1,352",73,73,73,"3,312","3,312","3,312",5,5,5,954,954,954,439,439,439,206,206,206,"2,018","2,018","2,018","25,725","25,725","25,725"
B5,1,,"117,889","117,889","117,889","85,490","85,490","85,490","40,105","40,105","40,105",84,84,84,39,39,39,"1,030","1,030","1,030",58,58,58,"3,665","3,665","3,665",24,24,24,619,619,619,89,89,89,205,205,205,"3,046","3,046","3,046","25,518","25,518","25,518"
B6,1,,"132,997","132,997","132,997","91,982","91,982","91,982","73,114","73,114","73,114",,-19,-19,64,64,64,"2,211","2,211","2,211",162,162,162,"14,536","14,536","14,536",,-75,-75,"1,110","1,110","1,110",899,899,899,353,353,353,"2,938","2,938","2,938","25,278","25,279","25,279"
B7,1,,"105,480","105,480","105,480","87,768","87,768","87,768","51,853","51,853","51,853",,-24,-24,34,34,34,880,880,880,,-32,-32,788,788,788,,-76,-76,585,585,585,530,530,530,165,165,165,"1,250","1,250","1,250","25,007","25,008","25,008"
B8,1,,"122,972","122,972","122,972","99,306","99,306","99,306","42,856","42,856","42,856",129,129,129,,-22,-22,985,985,985,60,60,60,"1,812","1,812","1,812",96,96,96,894,894,894,791,791,791,155,155,155,"1,659","1,659","1,659","24,771","24,772","24,772"
B9,1,,"121,003","121,003","121,003","87,388","87,388","87,388","43,482","43,482","43,482",,-50,-50,5,5,5,766,766,766,,-21,-21,"2,362","2,362","2,362",,-45,-45,675,675,675,747,747,747,222,222,222,"1,659","1,659","1,659","24,501","24,501","24,501"
B10,1,,"124,612","124,612","124,612","88,241","88,241","88,241","61,575","61,575","61,575",157,157,157,36,36,36,"1,506","1,506","1,506",,-20,-20,576,576,576,49,49,49,990,990,990,953,953,953,114,114,114,"1,742","1,742","1,742","24,295","24,295","24,295"
B11,1,,"112,943","112,943","112,943","85,362","85,362","85,362","42,676","42,676","42,676",47,47,47,56,56,56,"1,087","1,087","1,087",104,104,104,"2,837","2,837","2,837",39,39,39,"1,320","1,320","1,320",934,934,934,54,54,54,"1,417","1,417","1,417","24,049","24,049","24,049"
B12,1,,"68,884","68,884","68,884","83,971","83,971","83,971","95,863","95,863","95,863",129,129,129,35,35,35,"2,586","2,586","2,586",91,91,91,"7,449","7,449","7,449",90,90,90,568,568,568,28,28,28,184,184,184,"1,992","1,992","1,992","23,829","23,829","23,829"
C1,1,,"133,821","133,821","133,821","91,720","91,720","91,720","69,563","69,563","69,563",,-137,-137,43,43,43,"1,090","1,090","1,090",30,30,30,"4,743","4,743","4,743",,-46,-46,"1,171","1,171","1,171",246,246,246,109,109,109,"1,998","1,998","1,998","26,601","26,601","26,601"
C2,1,,"112,766","112,766","112,766","88,433","88,433","88,433","49,909","49,909","49,909",,-141,-141,26,26,26,"1,261","1,261","1,261",119,119,119,"7,153","7,153","7,153",39,39,39,"1,130","1,130","1,130",248,248,248,187,187,187,"1,168","1,168","1,168","26,868","26,868","26,868"
C3,1,,"124,004","124,004","124,004","88,698","88,698","88,698","66,276","66,276","66,276",201,201,201,88,88,88,"1,436","1,436","1,436",123,123,123,"3,120","3,120","3,120",86,86,86,"1,059","1,059","1,059","1,089","1,089","1,089",108,108,108,796,796,796,"27,108","27,108","27,108"
C4,1,,"118,587","118,587","118,587","85,586","85,586","85,586","55,412","55,412","55,412",131,131,131,103,103,103,"1,200","1,200","1,200",18,18,18,"1,158","1,158","1,158",75,75,75,"1,016","1,016","1,016",970,970,970,212,212,212,"1,915","1,915","1,915","27,304","27,304","27,304"
C5,1,,"112,978","112,978","112,978","84,572","84,572","84,572","59,491","59,491","59,491",77,77,77,58,58,58,"1,452","1,452","1,452",38,38,38,"3,976","3,976","3,976",,-57,-57,"1,422","1,422","1,422","1,273","1,273","1,273",186,186,186,"1,794","1,794","1,794","27,511","27,511","27,511"
C6,1,,"112,412","112,412","112,412","85,885","85,885","85,885","41,780","41,780","41,780",,-9,-9,43,43,43,998,998,998,15,15,15,"1,722","1,722","1,722",,-1,-1,617,617,617,47,47,47,167,167,167,"1,381","1,381","1,381","27,746","27,746","27,746"
C7,1,,"102,913","102,913","102,913","84,768","84,768","84,768","37,627","37,627","37,627",82,82,82,30,30,30,801,801,801,,-5,-5,703,703,703,24,24,24,313,313,313,328,328,328,156,156,156,"1,327","1,327","1,327","27,956","27,956","27,956"
C8,1,,"127,060","127,060","127,060","89,702","89,702","89,702","87,888","87,888","87,888",80,80,80,77,77,77,"1,188","1,188","1,188",53,53,53,"6,331","6,331","6,331",,-77,-77,855,855,855,390,390,390,224,224,224,"2,034","2,034","2,034","28,168","28,168","28,168"
C9,1,,"103,101","103,101","103,101","84,852","84,852","84,852","62,292","62,292","62,292",186,186,186,47,47,47,"2,670","2,670","2,670",195,195,195,770,770,770,,-133,-133,248,248,248,"1,204","1,204","1,204",173,173,173,"1,432","1,432","1,432","28,382","28,382","28,382"
C10,1,,"117,921","117,921","117,921","90,594","90,594","90,594","56,516","56,516","56,516",153,153,153,45,45,45,"1,921","1,921","1,921",113,113,113,"1,057","1,057","1,057",11,11,11,902,902,902,837,837,837,172,172,172,"1,559","1,559","1,559","28,590","28,590","28,590"
C11,1,,"107,924","107,924","107,924","88,840","88,840","88,840","72,942","72,942","72,942",,-70,-70,49,49,49,"1,295","1,295","1,295",104,104,104,"5,609","5,609","5,609",,-65,-65,"1,206","1,206","1,206","1,129","1,129","1,129",369,369,369,"1,148","1,148","1,148","28,792","28,792","28,792"
C12,1,,"133,792","133,792","133,792","94,760","94,760","94,760","43,702","43,702","43,702",83,83,83,8,8,8,"1,601","1,601","1,601",414,414,414,"2,962","2,962","2,962",138,138,138,569,569,569,"1,275","1,275","1,275",237,237,237,"2,010","2,010","2,010","29,007","29,007","29,007"
