Sort_id,All Events FSC-A Median,All Events FSC-W Median,All Events SSC-A Median,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Median,All Events Lin 488 530/30-A Median,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Median,All Events Time Median,Cell_seeded
2_B12,94867,82925,49748,63,138,2718,148,1297,87,320,22041,343,1820,23775,HSC
2_C1,126146,89085,62105,-54,115,2235,-79,3104,-83,447,25525,286,2133,26132,HSC
2_C2,112971,84806,53605,343,7,2253,220,1289,80,244,9047,168,1230,26323,HSC
2_C3,121651,88245,72426,112,53,1849,331,2742,-32,586,8600,232,1318,26534,HSC
2_C4,119652,90759,60749,43,25,1390,-5,976,17,1093,705,147,944,26776,HSC
2_C5,108646,89061,85325,-6,19,2456,57,4033,-18,185,21081,97,2204,26973,HSC
2_C6,103873,82701,34677,44,23,1606,1402,882,-16,282,16887,180,1560,27164,HSC
2_C7,109654,87095,45091,72,26,1369,143,523,211,35,7534,217,1716,27358,HSC
2_C8,105819,85445,58924,151,102,2399,-71,1162,-124,583,16153,190,1363,27553,HSC
2_C9,123210,90854,56070,73,114,3030,36,1877,-198,483,12754,151,1576,27745,HSC
2_C10,122006,93878,61411,55,72,2053,133,900,24,188,21001,412,2010,27946,HSC
2_C11,123293,89646,47030,144,-2,2011,92,2720,3,330,18867,414,2643,28138,HSC
2_C12,124047,89957,72164,57,110,2234,14,1594,-10,423,9273,187,977,28331,HSC
2_D1,104967,83864,69432,223,22,2781,243,2929,-95,412,11608,101,1632,30700,HSC
2_D2,104952,82379,44868,-45,-172,2661,-1,995,51,89,9083,71,774,30505,HSC
2_D3,106039,85949,53527,-51,-5,1987,166,3852,42,373,4526,290,871,30315,HSC
2_D4,97049,83867,56983,167,56,2762,12,1452,-165,694,13098,181,1290,30119,HSC
2_D5,116350,85788,55740,340,63,2578,331,1202,85,414,7430,154,1108,29929,HSC
2_D6,122051,90820,117309,-153,56,4805,582,5052,-136,649,7171,272,1018,29730,HSC
2_D7,96925,94417,83815,48,75,3043,181,1355,61,417,12039,234,1778,29516,HSC
2_D8,92532,82129,54961,-37,21,1140,35,2054,-79,107,19828,245,1932,29322,HSC
2_D9,112635,86497,68748,37,30,1446,86,1048,34,439,5063,180,998,29126,HSC
