Plate_well,Sort_id,Exp
4_H7,4_H7,LEUK19
4_H8,4_H8,LEUK19
4_H10,4_H10,LEUK19
4_H11,4_H11,LEUK19
5_A2,5_A2,LEUK19
5_A3,5_A3,LEUK19
5_A4,5_A4,LEUK19
5_A8,5_A8,LEUK19
5_B1,5_B1,LEUK19
5_B2,5_B2,LEUK19
5_B3,5_B3,LEUK19
5_B4,5_B4,LEUK19
5_C1,5_C1,LEUK19
5_C2,5_C2,LEUK19
5_C3,5_C3,LEUK19
5_C5,5_C5,LEUK19
5_C10,5_C10,LEUK19
5_C11,5_C11,LEUK19
5_D1,5_D1,LEUK19
5_D2,5_D2,LEUK19
5_D3,5_D3,LEUK19
5_D5,5_D5,LEUK19
5_D6,5_D6,LEUK19
5_D8,5_D8,LEUK19
5_E1,5_E1,LEUK19
5_E2,5_E2,LEUK19
5_E3,5_E3,LEUK19
5_E5,5_E5,LEUK19
5_E8,5_E8,LEUK19
5_E12,5_E12,LEUK19
5_F2,5_F2,LEUK19
5_F3,5_F3,LEUK19
5_F8,5_F8,LEUK19
5_G1,5_G1,LEUK19
5_G3,5_G3,LEUK19
5_G6,5_G6,LEUK19
5_G9,5_G9,LEUK19
5_H1,5_H1,LEUK19
5_H3,5_H3,LEUK19
5_H9,5_H9,LEUK19
6_A2,6_A2,LEUK19
6_A3,6_A3,LEUK19
6_A4,6_A4,LEUK19
6_A5,6_A5,LEUK19
6_A6,6_A6,LEUK19
6_A7,6_A7,LEUK19
6_A8,6_A8,LEUK19
6_A9,6_A9,LEUK19
6_A10,6_A10,LEUK19
6_A11,6_A11,LEUK19
6_B2,6_B2,LEUK19
6_B3,6_B3,LEUK19
6_B4,6_B4,LEUK19
6_B5,6_B5,LEUK19
6_B6,6_B6,LEUK19
6_B7,6_B7,LEUK19
6_B9,6_B9,LEUK19
6_B10,6_B10,LEUK19
6_B11,6_B11,LEUK19
6_B12,6_B12,LEUK19
6_C1,6_C1,LEUK19
6_C2,6_C2,LEUK19
6_C3,6_C3,LEUK19
6_C4,6_C4,LEUK19
6_C6,6_C6,LEUK19
6_C7,6_C7,LEUK19
6_C8,6_C8,LEUK19
6_C9,6_C9,LEUK19
6_C10,6_C10,LEUK19
6_C11,6_C11,LEUK19
6_D1,6_D1,LEUK19
6_D2,6_D2,LEUK19
6_D4,6_D4,LEUK19
6_D5,6_D5,LEUK19
6_D6,6_D6,LEUK19
6_D7,6_D7,LEUK19
6_D8,6_D8,LEUK19
6_D9,6_D9,LEUK19
6_D10,6_D10,LEUK19
6_E1,6_E1,LEUK19
6_E2,6_E2,LEUK19
6_E3,6_E3,LEUK19
6_E4,6_E4,LEUK19
6_E5,6_E5,LEUK19
6_E7,6_E7,LEUK19
6_E8,6_E8,LEUK19
6_E9,6_E9,LEUK19
6_E10,6_E10,LEUK19
6_E11,6_E11,LEUK19
6_E12,6_E12,LEUK19
6_F1,6_F1,LEUK19
6_F2,6_F2,LEUK19
6_F3,6_F3,LEUK19
6_F4,6_F4,LEUK19
6_F5,6_F5,LEUK19
6_F6,6_F6,LEUK19
6_F7,6_F7,LEUK19
6_F8,6_F8,LEUK19
6_F10,6_F10,LEUK19
6_F11,6_F11,LEUK19
6_F12,6_F12,LEUK19
6_G1,6_G1,LEUK19
6_G2,6_G2,LEUK19
6_G3,6_G3,LEUK19
6_G4,6_G4,LEUK19
6_G5,6_G5,LEUK19
6_G6,6_G6,LEUK19
6_G7,6_G7,LEUK19
6_G8,6_G8,LEUK19
6_G9,6_G9,LEUK19
6_G10,6_G10,LEUK19
6_G11,6_G11,LEUK19
6_H1,6_H1,LEUK19
6_H2,6_H2,LEUK19
6_H3,6_H3,LEUK19
6_H4,6_H4,LEUK19
6_H5,6_H5,LEUK19
6_H6,6_H6,LEUK19
6_H7,6_H7,LEUK19
6_H9,6_H9,LEUK19
6_H11,6_H11,LEUK19
