plate_well,#Events,%Parent,FSC-A,FSC-W,SSC-A,CD38,CD45RA,CD34,CD19,ZOMBIE,CD33,CD49F,CD90,V405,Time,Cell_seeded
3_A7,1,NA,101117,79952,20850,-64,67,1511,42,186,-11,258,74,NA,1904,HSC
3_A8,1,NA,92112,78706,16930,73,11,1035,43,162,41,635,629,NA,2114,HSC
3_A9,1,NA,106799,79603,17653,168,22,1918,20,163,28,2034,12,NA,2304,HSC
3_A10,1,NA,93576,78523,20104,128,40,1209,122,211,-10,100,98,NA,2500,HSC
3_A11,1,NA,121580,83732,23199,73,3,1734,32,142,122,221,86,NA,2707,HSC
3_A12,1,NA,97155,78928,22401,14,-31,1417,37,170,72,416,2248,NA,2973,HSC
3_B1,1,NA,145586,87902,35479,-58,40,2427,100,237,18,1292,-13,NA,5398,HSC
3_B2,1,NA,104499,78804,17186,12,82,1485,20,214,9,1625,78,NA,5206,HSC
3_B3,1,NA,87701,78010,21325,121,135,1674,100,253,127,547,-53,NA,5014,HSC
3_B4,1,NA,83771,76104,17506,98,26,1181,42,148,48,228,111,NA,4809,HSC
3_B5,1,NA,94961,78042,18264,-66,19,1562,38,85,100,702,-18,NA,4613,HSC
3_B6,1,NA,115848,80747,22878,249,54,1392,31,215,-84,365,66,NA,4418,HSC
3_B7,1,NA,104752,79138,23726,122,15,1237,-23,187,39,551,-94,NA,4221,HSC
3_B8,1,NA,95409,78204,14453,33,31,1364,32,196,84,806,-57,NA,4028,HSC
3_B9,1,NA,119819,81025,22495,62,37,1538,37,226,18,303,-31,NA,3837,HSC
3_B10,1,NA,86319,76818,21377,21,24,1549,68,196,42,603,40,NA,3645,HSC
3_B11,1,NA,106487,80343,21809,-94,103,1201,22,106,-17,636,125,NA,3449,HSC
3_B12,1,NA,96282,78788,14523,23,29,980,28,218,9,624,-90,NA,3206,HSC
3_C1,1,NA,104418,79239,20591,95,24,2105,18,170,7,1159,1305,NA,5591,HSC
3_C2,1,NA,99282,78808,21353,-147,1,1733,-8,137,5,499,-19,NA,5783,HSC
3_C3,1,NA,100539,78477,17651,-63,26,1236,23,127,9,670,408,NA,5987,HSC
3_C4,1,NA,99958,80566,22014,-74,24,1201,32,222,4,606,2145,NA,6232,HSC
3_C5,1,NA,94105,77442,17456,-1,70,1706,62,284,-24,1616,4710,NA,6433,HSC
3_C6,1,NA,94377,77783,15452,122,49,1597,2,155,17,183,36,NA,6639,HSC
3_C7,1,NA,102898,79607,17777,72,7,1319,-3,200,94,1392,204,NA,6829,HSC
3_C8,1,NA,79274,75217,23232,30,-10,1335,47,126,147,339,131,NA,7022,HSC
3_C9,1,NA,99339,78317,13470,-40,53,1378,53,193,93,1371,95,NA,7219,HSC
3_C10,1,NA,101319,79646,19082,108,4,1280,17,222,43,1055,520,NA,7410,HSC
3_C11,1,NA,140608,84688,34220,8,12,2653,67,319,36,225,59,NA,7604,HSC
3_C12,1,NA,92329,82147,37025,55,38,1296,9,206,1,389,97,NA,7807,HSC
3_D1,1,NA,99619,78503,15807,-124,24,2207,43,188,54,1242,815,NA,10243,HSC
3_D2,1,NA,100040,80265,19290,34,50,1471,23,139,57,533,357,NA,10041,HSC
3_D3,1,NA,103735,80444,19161,-8,66,1616,-3,189,21,1371,62,NA,9842,HSC
3_D4,1,NA,93472,78925,20434,55,78,1387,32,164,28,249,57,NA,9642,HSC
3_D5,1,NA,91291,80267,23824,-67,-16,1478,47,236,43,150,34,NA,9451,HSC
3_D6,1,NA,100301,81459,29909,-50,50,1525,11,146,2,895,679,NA,9255,HSC
3_D7,1,NA,103655,79606,17740,49,42,1285,33,110,56,55,93,NA,9061,HSC
3_D8,1,NA,101512,78546,20384,146,32,1250,62,187,85,525,-57,NA,8873,HSC
3_D9,1,NA,106349,79849,23995,-1,47,1759,43,199,23,501,2404,NA,8679,HSC
3_D10,1,NA,93685,77033,15888,-4,11,1363,13,127,59,644,5,NA,8457,HSC
3_D11,1,NA,99933,80308,18595,-108,-13,1157,55,210,122,2407,80,NA,8256,HSC
3_D12,1,NA,109743,81748,27686,-52,14,2397,27,172,-76,626,180,NA,8016,HSC
3_E1,1,NA,97421,77752,18785,-68,21,992,43,133,46,345,154,NA,10436,HSC
3_E2,1,NA,101374,79544,20739,120,52,1110,56,170,-75,173,15,NA,10626,HSC
3_E3,1,NA,92339,78372,14305,152,66,1563,36,157,-41,1014,-33,NA,10819,HSC
3_E4,1,NA,89580,78656,17709,192,64,1108,35,213,-27,193,186,NA,11034,HSC
3_E5,1,NA,101304,77748,17380,96,4,893,63,213,93,532,-33,NA,11226,HSC
3_E6,1,NA,85227,76872,21734,132,43,978,71,171,40,153,202,NA,11428,HSC
3_E7,1,NA,102750,78760,23678,81,77,1349,3,133,-14,429,30,NA,11618,HSC
3_E8,1,NA,111390,80923,31682,69,26,1673,10,197,106,370,170,NA,11813,HSC
3_E9,1,NA,91621,79422,18761,36,20,1009,16,229,-6,757,71,NA,12029,HSC
