sample_name,13:28607900-28608500,20:31022200-31022800,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads,,,
Aditi_39_S39,0,0,6,0,6,2216,2216,2210,Aditi,39,S39
Aditi_390_S390,0,0,1,0,1,3559,3560,3558,Aditi,390,S390
Aditi_391_S391,0,0,3,0,3,4641,4642,4638,Aditi,391,S391
Aditi_392_S392,0,0,0,0,0,5912,5912,5912,Aditi,392,S392
Aditi_393_S393,0,0,4,0,4,2770,2770,2766,Aditi,393,S393
Aditi_394_S394,0,0,0,0,0,3186,3186,3186,Aditi,394,S394
Aditi_395_S395,0,0,2,0,2,3172,3172,3170,Aditi,395,S395
Aditi_396_S396,0,0,0,0,0,2214,2214,2214,Aditi,396,S396
Aditi_397_S397,0,0,1,0,1,3975,3976,3974,Aditi,397,S397
Aditi_398_S398,0,0,2,0,2,5016,5016,5014,Aditi,398,S398
Aditi_399_S399,0,0,0,0,0,3786,3786,3786,Aditi,399,S399
Aditi_4_S4,0,0,6,0,6,2062,2062,2056,Aditi,4,S4
Aditi_40_S40,0,0,2,0,2,4292,4292,4290,Aditi,40,S40
Aditi_400_S400,0,0,0,0,0,4324,4324,4324,Aditi,400,S400
Aditi_401_S401,0,0,0,0,0,4002,4002,4002,Aditi,401,S401
Aditi_402_S402,0,0,0,0,0,3460,3460,3460,Aditi,402,S402
Aditi_403_S403,0,0,2,0,2,3080,3080,3078,Aditi,403,S403
Aditi_404_S404,0,0,0,0,0,2652,2652,2652,Aditi,404,S404
Aditi_405_S405,0,0,1,0,1,3531,3532,3530,Aditi,405,S405
Aditi_406_S406,0,0,2,0,2,4038,4038,4036,Aditi,406,S406
Aditi_407_S407,0,0,0,0,0,4730,4730,4730,Aditi,407,S407
Aditi_408_S408,0,0,1,0,1,4563,4564,4562,Aditi,408,S408
Aditi_409_S409,0,0,2,0,2,3538,3538,3536,Aditi,409,S409
Aditi_41_S41,0,0,2,0,2,1584,1584,1582,Aditi,41,S41
Aditi_410_S410,0,0,1,0,1,3175,3176,3174,Aditi,410,S410
Aditi_411_S411,0,0,0,0,0,2668,2668,2668,Aditi,411,S411
Aditi_412_S412,0,0,3,0,3,2975,2976,2972,Aditi,412,S412
Aditi_413_S413,0,0,0,0,0,5914,5914,5914,Aditi,413,S413
Aditi_414_S414,0,0,0,0,0,3438,3438,3438,Aditi,414,S414
Aditi_415_S415,0,0,1,0,1,6511,6512,6510,Aditi,415,S415
Aditi_416_S416,0,0,0,0,0,5578,5578,5578,Aditi,416,S416
Aditi_417_S417,0,0,2,0,2,3028,3028,3026,Aditi,417,S417
Aditi_418_S418,0,0,0,0,0,2954,2954,2954,Aditi,418,S418
Aditi_419_S419,0,0,0,0,0,1672,1672,1672,Aditi,419,S419
Aditi_42_S42,0,0,0,0,0,1810,1810,1810,Aditi,42,S42
Aditi_420_S420,0,0,1,0,1,3609,3610,3608,Aditi,420,S420
Aditi_421_S421,0,0,0,0,0,5068,5068,5068,Aditi,421,S421
Aditi_422_S422,0,0,0,0,0,4518,4518,4518,Aditi,422,S422
Aditi_423_S423,0,0,1,0,1,4515,4516,4514,Aditi,423,S423
Aditi_424_S424,0,0,0,0,0,5252,5252,5252,Aditi,424,S424
Aditi_425_S425,0,0,2,0,2,3292,3292,3290,Aditi,425,S425
Aditi_426_S426,0,0,0,0,0,3238,3238,3238,Aditi,426,S426
Aditi_427_S427,0,0,0,0,0,3314,3314,3314,Aditi,427,S427
Aditi_428_S428,0,0,1,0,1,3491,3492,3490,Aditi,428,S428
Aditi_429_S429,0,0,0,0,0,4904,4904,4904,Aditi,429,S429
Aditi_43_S43,0,0,6,0,6,1912,1912,1906,Aditi,43,S43
Aditi_430_S430,0,0,1,0,1,3741,3742,3740,Aditi,430,S430
Aditi_431_S431,0,0,0,0,0,4606,4606,4606,Aditi,431,S431
Aditi_432_S432,0,0,0,0,0,7404,7404,7404,Aditi,432,S432
Aditi_433_S433,0,0,0,0,0,3978,3978,3978,Aditi,433,S433
Aditi_434_S434,0,0,0,0,0,4822,4822,4822,Aditi,434,S434
Aditi_435_S435,0,0,5,0,5,2357,2358,2352,Aditi,435,S435
Aditi_436_S436,0,0,0,0,0,3292,3292,3292,Aditi,436,S436
Aditi_437_S437,0,0,2,0,2,4494,4494,4492,Aditi,437,S437
Aditi_438_S438,0,0,2,0,2,3926,3926,3924,Aditi,438,S438
Aditi_439_S439,0,0,0,0,0,4686,4686,4686,Aditi,439,S439
Aditi_44_S44,0,0,4,0,4,1738,1738,1734,Aditi,44,S44
Aditi_440_S440,0,0,0,0,0,3244,3244,3244,Aditi,440,S440
Aditi_441_S441,0,0,0,0,0,3666,3666,3666,Aditi,441,S441
Aditi_442_S442,0,0,1,0,1,3847,3848,3846,Aditi,442,S442
Aditi_443_S443,0,0,0,0,0,2992,2992,2992,Aditi,443,S443
Aditi_444_S444,0,0,0,0,0,2458,2458,2458,Aditi,444,S444
Aditi_445_S445,0,0,0,0,0,4876,4876,4876,Aditi,445,S445
Aditi_446_S446,0,0,4,0,4,5052,5052,5048,Aditi,446,S446
Aditi_447_S447,0,0,0,0,0,5198,5198,5198,Aditi,447,S447
Aditi_448_S448,0,0,2,0,2,4130,4130,4128,Aditi,448,S448
Aditi_449_S449,0,0,2,0,2,3102,3102,3100,Aditi,449,S449
Aditi_45_S45,0,0,4,0,4,2252,2252,2248,Aditi,45,S45
Aditi_450_S450,0,0,1,0,1,3791,3792,3790,Aditi,450,S450
Aditi_451_S451,0,0,1,0,1,3003,3004,3002,Aditi,451,S451
Aditi_452_S452,0,0,0,0,0,2960,2960,2960,Aditi,452,S452
Aditi_453_S453,0,0,0,0,0,5726,5726,5726,Aditi,453,S453
Aditi_454_S454,0,0,1,0,1,5611,5612,5610,Aditi,454,S454
Aditi_455_S455,0,0,0,0,0,5940,5940,5940,Aditi,455,S455
Aditi_456_S456,0,0,0,0,0,5842,5842,5842,Aditi,456,S456
Aditi_457_S457,0,0,0,0,0,2946,2946,2946,Aditi,457,S457
Aditi_458_S458,0,0,0,0,0,3852,3852,3852,Aditi,458,S458
Aditi_459_S459,0,0,4,0,4,3604,3604,3600,Aditi,459,S459
Aditi_46_S46,0,0,4,0,4,2026,2026,2022,Aditi,46,S46
Aditi_460_S460,0,0,0,0,0,3354,3354,3354,Aditi,460,S460
Aditi_461_S461,0,0,0,0,0,4426,4426,4426,Aditi,461,S461
Aditi_462_S462,0,0,0,0,0,2634,2634,2634,Aditi,462,S462
Aditi_463_S463,0,0,0,0,0,5076,5076,5076,Aditi,463,S463
Aditi_464_S464,0,0,0,0,0,7690,7690,7690,Aditi,464,S464
Aditi_465_S465,0,0,0,0,0,2824,2824,2824,Aditi,465,S465
Aditi_466_S466,0,0,2,0,2,3106,3106,3104,Aditi,466,S466
Aditi_467_S467,0,0,2,0,2,4094,4096,4092,Aditi,467,S467
Aditi_468_S468,0,0,0,0,0,3430,3430,3430,Aditi,468,S468
Aditi_469_S469,0,0,38,0,38,8418,8456,8380,Aditi,469,S469
Aditi_47_S47,0,0,0,0,0,1996,1996,1996,Aditi,47,S47
Aditi_470_S470,0,0,0,0,0,2842,2842,2842,Aditi,470,S470
Aditi_471_S471,0,0,0,0,0,4524,4524,4524,Aditi,471,S471
Aditi_472_S472,0,0,0,0,0,5304,5304,5304,Aditi,472,S472
Aditi_473_S473,0,0,0,0,0,3140,3140,3140,Aditi,473,S473
Aditi_474_S474,0,0,0,0,0,2988,2988,2988,Aditi,474,S474
Aditi_475_S475,0,0,2,0,2,3584,3584,3582,Aditi,475,S475
Aditi_476_S476,0,0,0,0,0,2878,2878,2878,Aditi,476,S476
Aditi_477_S477,0,0,0,0,0,190,190,190,Aditi,477,S477
Aditi_478_S478,0,0,1,0,1,5539,5540,5538,Aditi,478,S478
Aditi_479_S479,0,0,4,0,4,5520,5520,5516,Aditi,479,S479
Aditi_48_S48,0,0,1,0,1,4653,4654,4652,Aditi,48,S48
Aditi_480_S480,0,0,0,0,0,4544,4544,4544,Aditi,480,S480
Aditi_481_S481,0,0,4,0,4,3382,3382,3378,Aditi,481,S481
Aditi_482_S482,0,0,2,0,2,4542,4542,4540,Aditi,482,S482
Aditi_483_S483,0,0,0,0,0,4964,4964,4964,Aditi,483,S483
Aditi_484_S484,0,0,0,0,0,3818,3818,3818,Aditi,484,S484
Aditi_485_S485,0,0,4,0,4,4402,4404,4398,Aditi,485,S485
Aditi_486_S486,0,0,5,0,5,4293,4294,4288,Aditi,486,S486
Aditi_487_S487,0,0,2,0,2,4438,4438,4436,Aditi,487,S487
Aditi_488_S488,0,0,1,0,1,5123,5124,5122,Aditi,488,S488
Aditi_489_S489,0,0,0,0,0,3330,3330,3330,Aditi,489,S489
Aditi_49_S49,0,0,0,0,0,1764,1764,1764,Aditi,49,S49
Aditi_490_S490,0,0,0,0,0,3326,3326,3326,Aditi,490,S490
Aditi_491_S491,0,0,0,0,0,3854,3854,3854,Aditi,491,S491
Aditi_492_S492,0,0,5,0,5,3385,3386,3380,Aditi,492,S492
Aditi_493_S493,0,0,0,0,0,4032,4032,4032,Aditi,493,S493
Aditi_494_S494,0,0,0,0,0,3588,3588,3588,Aditi,494,S494
Aditi_495_S495,0,0,2,0,2,4456,4456,4454,Aditi,495,S495
Aditi_496_S496,0,0,2,0,2,4382,4382,4380,Aditi,496,S496
Aditi_497_S497,0,0,0,0,0,3060,3060,3060,Aditi,497,S497
Aditi_498_S498,0,0,0,0,0,4190,4190,4190,Aditi,498,S498
Aditi_499_S499,0,0,0,0,0,3658,3658,3658,Aditi,499,S499
Aditi_5_S5,0,5,4,0,9,1703,1702,1694,Aditi,5,S5
Aditi_50_S50,0,0,3,0,3,1865,1866,1862,Aditi,50,S50
Aditi_500_S500,0,0,2,0,2,4116,4116,4114,Aditi,500,S500
Aditi_501_S501,0,0,3,0,3,3305,3308,3302,Aditi,501,S501
Aditi_502_S502,0,0,0,0,0,3096,3096,3096,Aditi,502,S502
Aditi_503_S503,0,0,2,0,2,3848,3848,3846,Aditi,503,S503
Aditi_504_S504,0,0,0,0,0,3578,3578,3578,Aditi,504,S504
Aditi_505_S505,0,0,0,0,0,2942,2942,2942,Aditi,505,S505
Aditi_506_S506,0,0,1,0,1,3689,3690,3688,Aditi,506,S506
Aditi_507_S507,0,0,0,0,0,3002,3002,3002,Aditi,507,S507
Aditi_508_S508,0,0,0,0,0,3986,3986,3986,Aditi,508,S508
Aditi_509_S509,0,0,0,0,0,4640,4640,4640,Aditi,509,S509
Aditi_51_S51,0,0,19,0,19,1915,1916,1896,Aditi,51,S51
Aditi_510_S510,0,0,0,0,0,3204,3204,3204,Aditi,510,S510
Aditi_511_S511,0,0,2,0,2,4282,4284,4280,Aditi,511,S511
Aditi_512_S512,0,0,2,0,2,3560,3560,3558,Aditi,512,S512
Aditi_513_S513,0,0,0,0,0,2680,2680,2680,Aditi,513,S513
Aditi_514_S514,0,0,0,0,0,3628,3628,3628,Aditi,514,S514
Aditi_515_S515,0,0,2,0,2,4124,4124,4122,Aditi,515,S515
Aditi_516_S516,0,0,3,0,3,3763,3764,3760,Aditi,516,S516
Aditi_517_S517,0,0,1,0,1,3565,3566,3564,Aditi,517,S517
Aditi_518_S518,0,0,0,0,0,3670,3670,3670,Aditi,518,S518
Aditi_519_S519,0,0,0,0,0,3686,3686,3686,Aditi,519,S519
Aditi_52_S52,0,0,4,0,4,1782,1782,1778,Aditi,52,S52
Aditi_520_S520,0,0,1,0,1,4243,4244,4242,Aditi,520,S520
Aditi_521_S521,0,0,0,0,0,3512,3512,3512,Aditi,521,S521
Aditi_522_S522,0,0,0,0,0,3422,3422,3422,Aditi,522,S522
Aditi_523_S523,0,0,0,0,0,4438,4438,4438,Aditi,523,S523
Aditi_524_S524,0,0,1,0,1,3851,3852,3850,Aditi,524,S524
Aditi_525_S525,0,0,0,0,0,3604,3604,3604,Aditi,525,S525
Aditi_526_S526,0,0,0,0,0,3078,3078,3078,Aditi,526,S526
Aditi_527_S527,0,0,2,0,2,3740,3740,3738,Aditi,527,S527
Aditi_528_S528,0,0,0,0,0,6172,6172,6172,Aditi,528,S528
Aditi_529_S529,0,0,1,0,1,3449,3450,3448,Aditi,529,S529
Aditi_53_S53,0,0,0,0,0,1748,1748,1748,Aditi,53,S53
Aditi_530_S530,0,0,0,0,0,4816,4816,4816,Aditi,530,S530
Aditi_531_S531,0,0,2,0,2,3712,3712,3710,Aditi,531,S531
Aditi_532_S532,0,0,0,0,0,3162,3162,3162,Aditi,532,S532
Aditi_533_S533,0,0,4,0,4,3046,3046,3042,Aditi,533,S533
Aditi_534_S534,0,0,2,0,2,4060,4060,4058,Aditi,534,S534
Aditi_535_S535,0,0,2,0,2,3524,3524,3522,Aditi,535,S535
Aditi_536_S536,0,0,0,0,0,3074,3074,3074,Aditi,536,S536
Aditi_537_S537,0,0,0,0,0,3478,3478,3478,Aditi,537,S537
Aditi_538_S538,0,0,0,0,0,3644,3644,3644,Aditi,538,S538
Aditi_539_S539,0,0,0,0,0,2882,2882,2882,Aditi,539,S539
Aditi_54_S54,0,0,4,0,4,2096,2096,2092,Aditi,54,S54
Aditi_540_S540,0,0,0,0,0,3544,3544,3544,Aditi,540,S540
Aditi_541_S541,0,0,2,0,2,3770,3772,3768,Aditi,541,S541
Aditi_542_S542,0,0,0,0,0,3922,3922,3922,Aditi,542,S542
Aditi_543_S543,0,0,0,0,0,3964,3964,3964,Aditi,543,S543
Aditi_544_S544,0,0,0,0,0,2918,2918,2918,Aditi,544,S544
Aditi_545_S545,0,0,2,0,2,3158,3158,3156,Aditi,545,S545
Aditi_546_S546,0,0,0,0,0,3504,3504,3504,Aditi,546,S546
Aditi_547_S547,0,0,3,0,3,3921,3922,3918,Aditi,547,S547
Aditi_548_S548,0,0,1,0,1,3839,3840,3838,Aditi,548,S548
Aditi_549_S549,0,0,0,0,0,4476,4476,4476,Aditi,549,S549
Aditi_55_S55,0,0,0,0,0,4808,4808,4808,Aditi,55,S55
Aditi_550_S550,0,0,0,0,0,4232,4232,4232,Aditi,550,S550
Aditi_551_S551,0,0,0,0,0,4166,4166,4166,Aditi,551,S551
Aditi_552_S552,0,0,0,0,0,3668,3668,3668,Aditi,552,S552
Aditi_553_S553,0,0,0,0,0,3698,3698,3698,Aditi,553,S553
Aditi_554_S554,0,0,0,0,0,3970,3970,3970,Aditi,554,S554
Aditi_555_S555,0,0,1,0,1,3811,3812,3810,Aditi,555,S555
Aditi_556_S556,0,0,2,0,2,2886,2886,2884,Aditi,556,S556
Aditi_557_S557,0,0,0,0,0,3468,3468,3468,Aditi,557,S557
Aditi_558_S558,0,0,2,0,2,3152,3152,3150,Aditi,558,S558
Aditi_559_S559,0,0,0,0,0,4280,4280,4280,Aditi,559,S559
Aditi_56_S56,0,0,201,0,201,44089,44092,43888,Aditi,56,S56
Aditi_560_S560,0,0,3,0,3,5913,5916,5910,Aditi,560,S560
Aditi_561_S561,0,0,3,0,3,3473,3474,3470,Aditi,561,S561
Aditi_562_S562,0,0,0,0,0,3072,3072,3072,Aditi,562,S562
Aditi_563_S563,0,0,1,0,1,5247,5248,5246,Aditi,563,S563
Aditi_564_S564,0,0,0,0,0,4208,4208,4208,Aditi,564,S564
Aditi_565_S565,0,0,16,0,16,4362,4378,4346,Aditi,565,S565
Aditi_566_S566,0,0,0,0,0,2714,2714,2714,Aditi,566,S566
Aditi_567_S567,0,0,1,0,1,3443,3444,3442,Aditi,567,S567
Aditi_568_S568,0,0,2,0,2,3934,3934,3932,Aditi,568,S568
Aditi_569_S569,0,0,0,0,0,1804,1804,1804,Aditi,569,S569
Aditi_57_S57,0,0,4,0,4,1802,1802,1798,Aditi,57,S57
Aditi_570_S570,0,0,0,0,0,2730,2730,2730,Aditi,570,S570
Aditi_571_S571,0,0,3,0,3,4733,4736,4730,Aditi,571,S571
Aditi_572_S572,0,0,1,0,1,3219,3220,3218,Aditi,572,S572
Aditi_573_S573,0,0,0,0,0,1964,1964,1964,Aditi,573,S573
Aditi_574_S574,0,0,0,0,0,3120,3120,3120,Aditi,574,S574
Aditi_575_S575,0,0,0,0,0,3792,3792,3792,Aditi,575,S575
Aditi_576_S576,0,0,0,0,0,2778,2778,2778,Aditi,576,S576
Aditi_577_S577,0,0,208,0,208,1498,1500,1290,Aditi,577,S577
Aditi_578_S578,0,0,134,0,134,1752,1760,1618,Aditi,578,S578
Aditi_579_S579,0,0,55,0,55,1801,1802,1746,Aditi,579,S579
Aditi_58_S58,0,0,2,0,2,1776,1776,1774,Aditi,58,S58
Aditi_580_S580,0,0,30,0,30,3938,3938,3908,Aditi,580,S580
Aditi_581_S581,0,0,41,0,41,2369,2372,2328,Aditi,581,S581
Aditi_582_S582,0,0,47,0,47,2173,2174,2126,Aditi,582,S582
Aditi_583_S583,0,0,592,0,592,1992,1996,1400,Aditi,583,S583
Aditi_584_S584,0,0,168,0,168,2240,2244,2072,Aditi,584,S584
Aditi_585_S585,0,0,87332,0,87332,92108,93104,4776,Aditi,585,S585
Aditi_586_S586,0,0,6351,0,6351,8585,8666,2234,Aditi,586,S586
Aditi_587_S587,0,0,308,0,308,2386,2390,2078,Aditi,587,S587
Aditi_588_S588,0,0,94,0,94,1830,1832,1736,Aditi,588,S588
Aditi_589_S589,0,0,11190,0,11190,12766,12898,1576,Aditi,589,S589
Aditi_59_S59,0,0,12,0,12,1658,1658,1646,Aditi,59,S59
Aditi_590_S590,0,0,132,0,132,2840,2844,2708,Aditi,590,S590
Aditi_591_S591,0,0,257,0,257,2977,2986,2720,Aditi,591,S591
Aditi_592_S592,0,0,99351,0,99351,102507,103586,3156,Aditi,592,S592
Aditi_593_S593,0,0,195,0,195,2917,2926,2722,Aditi,593,S593
Aditi_594_S594,0,0,9897,0,9897,12223,12318,2326,Aditi,594,S594
Aditi_595_S595,0,0,185,0,185,2645,2648,2460,Aditi,595,S595
Aditi_596_S596,0,0,123,0,123,2495,2500,2372,Aditi,596,S596
Aditi_597_S597,0,0,10447,0,10447,12233,12326,1786,Aditi,597,S597
Aditi_598_S598,0,0,38,0,38,3294,3294,3256,Aditi,598,S598
Aditi_599_S599,0,0,24,0,24,1958,1960,1934,Aditi,599,S599
Aditi_6_S6,0,10,4,0,14,1342,1340,1328,Aditi,6,S6
Aditi_60_S60,0,0,0,0,0,2112,2112,2112,Aditi,60,S60
Aditi_600_S600,0,0,58978,0,58978,61506,62184,2528,Aditi,600,S600
Aditi_601_S601,0,0,73,0,73,1895,1898,1822,Aditi,601,S601
Aditi_602_S602,0,0,3802,0,3802,7128,7186,3326,Aditi,602,S602
Aditi_603_S603,0,0,780,0,780,3928,3936,3148,Aditi,603,S603
Aditi_604_S604,0,0,129,0,129,2933,2940,2804,Aditi,604,S604
Aditi_605_S605,0,0,67,0,67,3419,3424,3352,Aditi,605,S605
Aditi_606_S606,0,0,1037,0,1037,2907,2920,1870,Aditi,606,S606
Aditi_607_S607,0,0,338,0,338,4068,4076,3730,Aditi,607,S607
Aditi_608_S608,0,0,623,0,623,3593,3602,2970,Aditi,608,S608
Aditi_609_S609,0,0,106,0,106,2806,2810,2700,Aditi,609,S609
Aditi_61_S61,0,0,0,0,0,1626,1626,1626,Aditi,61,S61
Aditi_610_S610,0,0,78187,0,78187,80735,81630,2548,Aditi,610,S610
Aditi_611_S611,0,0,14,0,14,3078,3078,3064,Aditi,611,S611
Aditi_612_S612,0,0,254,0,254,2720,2724,2466,Aditi,612,S612
Aditi_613_S613,0,0,1443,0,1443,3371,3382,1928,Aditi,613,S613
Aditi_614_S614,0,0,55,0,55,2595,2600,2540,Aditi,614,S614
Aditi_615_S615,0,0,32,0,32,3220,3224,3188,Aditi,615,S615
Aditi_616_S616,0,0,49,0,49,1241,1242,1192,Aditi,616,S616
Aditi_617_S617,0,0,192,0,192,3406,3410,3214,Aditi,617,S617
Aditi_618_S618,0,0,271,0,271,2021,2026,1750,Aditi,618,S618
Aditi_619_S619,0,0,39868,0,39868,41888,42260,2020,Aditi,619,S619
Aditi_62_S62,0,0,0,0,0,2296,2296,2296,Aditi,62,S62
Aditi_620_S620,0,0,1420,0,1420,3782,3800,2362,Aditi,620,S620
Aditi_621_S621,0,0,88,0,88,1992,1992,1904,Aditi,621,S621
Aditi_622_S622,0,0,28870,0,28870,31354,31650,2484,Aditi,622,S622
Aditi_623_S623,0,0,92,0,92,2678,2682,2586,Aditi,623,S623
Aditi_624_S624,0,0,3427,0,3427,7623,7652,4196,Aditi,624,S624
Aditi_625_S625,0,0,399,0,399,2497,2502,2098,Aditi,625,S625
Aditi_626_S626,0,0,23,0,23,2133,2134,2110,Aditi,626,S626
Aditi_627_S627,0,0,150,0,150,2004,2008,1854,Aditi,627,S627
Aditi_628_S628,0,0,229,0,229,1911,1914,1682,Aditi,628,S628
Aditi_629_S629,0,0,167,0,167,1759,1762,1592,Aditi,629,S629
Aditi_63_S63,0,0,0,0,0,3528,3528,3528,Aditi,63,S63
Aditi_630_S630,0,0,221,0,221,2867,2870,2646,Aditi,630,S630
Aditi_631_S631,0,0,164,0,164,3324,3332,3160,Aditi,631,S631
Aditi_632_S632,0,0,14,0,14,2754,2754,2740,Aditi,632,S632
Aditi_633_S633,0,0,160220,0,160220,165932,167526,5712,Aditi,633,S633
Aditi_634_S634,0,0,326,0,326,1480,1486,1154,Aditi,634,S634
Aditi_635_S635,0,0,2343,0,2343,5097,5132,2754,Aditi,635,S635
Aditi_636_S636,0,0,481,0,481,1797,1816,1316,Aditi,636,S636
Aditi_637_S637,0,0,5338,0,5338,7408,7450,2070,Aditi,637,S637
Aditi_638_S638,0,0,136,0,136,2708,2712,2572,Aditi,638,S638
Aditi_639_S639,0,0,40,0,40,3040,3042,3000,Aditi,639,S639
Aditi_64_S64,0,18,2,0,20,19604,19618,19584,Aditi,64,S64
Aditi_640_S640,0,0,2608,0,2608,4672,4704,2064,Aditi,640,S640
Aditi_641_S641,0,0,102460,0,102460,104618,105606,2158,Aditi,641,S641
Aditi_642_S642,0,0,39,0,39,2213,2214,2174,Aditi,642,S642
Aditi_643_S643,0,0,91,0,91,2219,2220,2128,Aditi,643,S643
Aditi_644_S644,0,0,6637,0,6637,8851,8934,2214,Aditi,644,S644
Aditi_645_S645,0,0,325,0,325,2701,2716,2376,Aditi,645,S645
Aditi_646_S646,0,0,226,0,226,2294,2300,2068,Aditi,646,S646
Aditi_647_S647,0,0,61,0,61,3147,3148,3086,Aditi,647,S647
Aditi_648_S648,0,0,228,0,228,5800,5802,5572,Aditi,648,S648
Aditi_649_S649,0,0,42293,0,42293,44741,45138,2448,Aditi,649,S649
Aditi_65_S65,0,0,4,0,4,694,694,690,Aditi,65,S65
Aditi_650_S650,0,0,221,0,221,2603,2610,2382,Aditi,650,S650
Aditi_651_S651,0,0,52,0,52,2236,2238,2184,Aditi,651,S651
Aditi_652_S652,0,0,50607,0,50607,54587,55094,3980,Aditi,652,S652
Aditi_653_S653,0,0,184,0,184,4630,4632,4446,Aditi,653,S653
Aditi_654_S654,0,0,37,0,37,1741,1742,1704,Aditi,654,S654
Aditi_655_S655,0,0,4666,0,4666,8164,8230,3498,Aditi,655,S655
Aditi_656_S656,0,0,66,0,66,4966,4970,4900,Aditi,656,S656
Aditi_657_S657,0,0,306,0,306,3510,3518,3204,Aditi,657,S657
Aditi_658_S658,0,0,497,0,497,3139,3146,2642,Aditi,658,S658
Aditi_659_S659,0,0,107,0,107,3221,3222,3114,Aditi,659,S659
Aditi_66_S66,0,0,2,0,2,1770,1770,1768,Aditi,66,S66
Aditi_660_S660,0,0,45,0,45,2215,2216,2170,Aditi,660,S660
Aditi_661_S661,0,0,19,0,19,4213,4224,4194,Aditi,661,S661
Aditi_662_S662,0,0,15,0,15,1903,1904,1888,Aditi,662,S662
Aditi_663_S663,0,0,577,0,577,2921,2928,2344,Aditi,663,S663
Aditi_664_S664,0,0,4567,0,4567,7855,7910,3288,Aditi,664,S664
Aditi_665_S665,0,0,444,0,444,3566,3568,3122,Aditi,665,S665
Aditi_666_S666,0,0,87,0,87,1729,1730,1642,Aditi,666,S666
Aditi_667_S667,0,0,10,0,10,2232,2232,2222,Aditi,667,S667
Aditi_668_S668,0,0,99,0,99,2959,2966,2860,Aditi,668,S668
Aditi_669_S669,0,0,77636,0,77636,79380,80160,1744,Aditi,669,S669
Aditi_67_S67,0,0,5,0,5,1601,1602,1596,Aditi,67,S67
Aditi_670_S670,0,0,121783,0,121783,125027,126204,3244,Aditi,670,S670
Aditi_671_S671,0,0,60,0,60,2064,2066,2004,Aditi,671,S671
Aditi_672_S672,0,0,207391,0,207391,211049,213164,3658,Aditi,672,S672
Aditi_673_S673,0,0,55,0,55,3511,3512,3456,Aditi,673,S673
Aditi_674_S674,0,0,5,0,5,3851,3852,3846,Aditi,674,S674
Aditi_675_S675,0,0,12,0,12,6946,6946,6934,Aditi,675,S675
Aditi_676_S676,0,0,8,0,8,3490,3490,3482,Aditi,676,S676
Aditi_677_S677,0,0,1,0,1,3813,3814,3812,Aditi,677,S677
Aditi_678_S678,0,0,1,0,1,3175,3176,3174,Aditi,678,S678
Aditi_679_S679,0,0,2,0,2,3416,3416,3414,Aditi,679,S679
Aditi_68_S68,0,0,0,0,0,1886,1886,1886,Aditi,68,S68
Aditi_680_S680,0,0,1,0,1,3871,3872,3870,Aditi,680,S680
Aditi_681_S681,0,0,18,0,18,3218,3218,3200,Aditi,681,S681
Aditi_682_S682,0,0,79,0,79,3915,3916,3836,Aditi,682,S682
Aditi_683_S683,0,0,0,0,0,3598,3598,3598,Aditi,683,S683
Aditi_684_S684,0,0,15,0,15,2435,2436,2420,Aditi,684,S684
Aditi_685_S685,0,0,3,0,3,3209,3210,3206,Aditi,685,S685
Aditi_686_S686,0,0,30293,0,30293,34889,35198,4596,Aditi,686,S686
Aditi_687_S687,0,0,0,0,0,2642,2642,2642,Aditi,687,S687
Aditi_688_S688,0,0,6,0,6,4254,4256,4248,Aditi,688,S688
Aditi_689_S689,0,0,5598,0,5598,9902,9976,4304,Aditi,689,S689
Aditi_69_S69,0,0,1,0,1,2057,2058,2056,Aditi,69,S69
Aditi_690_S690,0,0,4,0,4,5554,5554,5550,Aditi,690,S690
Aditi_691_S691,0,0,5,0,5,3175,3176,3170,Aditi,691,S691
Aditi_692_S692,0,0,68,0,68,3398,3400,3330,Aditi,692,S692
Aditi_693_S693,0,0,0,0,0,3264,3264,3264,Aditi,693,S693
Aditi_694_S694,0,0,1,0,1,3307,3308,3306,Aditi,694,S694
Aditi_695_S695,0,0,0,0,0,4756,4756,4756,Aditi,695,S695
Aditi_696_S696,0,0,0,0,0,3700,3700,3700,Aditi,696,S696
Aditi_697_S697,0,0,402,0,402,4970,4972,4568,Aditi,697,S697
Aditi_698_S698,0,0,17,0,17,4307,4308,4290,Aditi,698,S698
Aditi_699_S699,0,0,1,0,1,3597,3598,3596,Aditi,699,S699
Aditi_7_S7,0,0,12,0,12,1808,1808,1796,Aditi,7,S7
Aditi_70_S70,0,0,2,0,2,1918,1918,1916,Aditi,70,S70
Aditi_700_S700,0,0,15,0,15,3859,3860,3844,Aditi,700,S700
Aditi_701_S701,0,0,4,0,4,4304,4304,4300,Aditi,701,S701
Aditi_702_S702,0,0,11,0,11,2739,2740,2728,Aditi,702,S702
Aditi_703_S703,0,0,0,0,0,5096,5096,5096,Aditi,703,S703
Aditi_704_S704,0,0,18,0,18,3432,3432,3414,Aditi,704,S704
Aditi_705_S705,0,0,10,0,10,4194,4196,4184,Aditi,705,S705
Aditi_706_S706,0,0,16,0,16,3370,3370,3354,Aditi,706,S706
Aditi_707_S707,0,0,2,0,2,3634,3634,3632,Aditi,707,S707
Aditi_708_S708,0,0,16,0,16,4312,4312,4296,Aditi,708,S708
