sample_name,13:28607900-28608500,20:31022200-31022800,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads,,,
Aditi_1114_S1114,0,0,2502,0,2502,3472,3512,970,Aditi,1114,S1114
Aditi_1115_S1115,0,0,34,0,34,336,336,302,Aditi,1115,S1115
Aditi_1116_S1116,0,0,312,0,312,1242,1248,930,Aditi,1116,S1116
Aditi_1117_S1117,0,0,1150,0,1150,1372,1384,222,Aditi,1117,S1117
Aditi_1118_S1118,0,0,4,0,4,1902,1902,1898,Aditi,1118,S1118
Aditi_1119_S1119,0,0,19,0,19,413,414,394,Aditi,1119,S1119
Aditi_112_S112,0,2,18,0,20,40012,40014,39992,Aditi,112,S112
Aditi_1120_S1120,0,0,41,0,41,927,928,886,Aditi,1120,S1120
Aditi_1121_S1121,0,0,3517,0,3517,3771,3812,254,Aditi,1121,S1121
Aditi_1122_S1122,0,0,6755,0,6755,8219,8278,1464,Aditi,1122,S1122
Aditi_1123_S1123,0,0,329,0,329,335,336,6,Aditi,1123,S1123
Aditi_1124_S1124,0,0,21,0,21,831,834,810,Aditi,1124,S1124
Aditi_1125_S1125,0,0,6367,0,6367,6551,6622,184,Aditi,1125,S1125
Aditi_1126_S1126,0,0,64853,0,64853,66947,67544,2094,Aditi,1126,S1126
Aditi_1127_S1127,0,0,60936,0,60936,62390,62978,1454,Aditi,1127,S1127
Aditi_1128_S1128,0,0,28,0,28,1978,1978,1950,Aditi,1128,S1128
Aditi_1129_S1129,0,0,93,0,93,1077,1080,984,Aditi,1129,S1129
Aditi_113_S113,0,0,0,0,0,1518,1518,1518,Aditi,113,S113
Aditi_1130_S1130,0,0,160,0,160,210,212,50,Aditi,1130,S1130
Aditi_1131_S1131,0,0,21164,0,21164,21964,22196,800,Aditi,1131,S1131
Aditi_1132_S1132,0,0,4979,0,4979,5097,5160,118,Aditi,1132,S1132
Aditi_1133_S1133,0,0,31,0,31,151,152,120,Aditi,1133,S1133
Aditi_1134_S1134,0,0,44,0,44,396,396,352,Aditi,1134,S1134
Aditi_1135_S1135,0,0,39,0,39,1269,1272,1230,Aditi,1135,S1135
Aditi_1136_S1136,0,0,13485,0,13485,15037,15192,1552,Aditi,1136,S1136
Aditi_1137_S1137,0,0,71,0,71,73,74,2,Aditi,1137,S1137
Aditi_1138_S1138,0,0,70,0,70,1890,1892,1820,Aditi,1138,S1138
Aditi_1139_S1139,0,0,1731,0,1731,1827,1842,96,Aditi,1139,S1139
Aditi_114_S114,0,0,2,0,2,2100,2102,2098,Aditi,114,S114
Aditi_1140_S1140,0,0,4754,0,4754,5048,5090,294,Aditi,1140,S1140
Aditi_1141_S1141,0,0,17762,0,17762,18104,18292,342,Aditi,1141,S1141
Aditi_1142_S1142,0,0,32,0,32,42,42,10,Aditi,1142,S1142
Aditi_1143_S1143,0,0,3232,0,3232,5164,5202,1932,Aditi,1143,S1143
Aditi_1144_S1144,0,0,8,0,8,26,26,18,Aditi,1144,S1144
Aditi_1145_S1145,0,0,38606,0,38606,41120,41470,2514,Aditi,1145,S1145
Aditi_1146_S1146,0,0,59,0,59,315,320,256,Aditi,1146,S1146
Aditi_1147_S1147,0,0,558,0,558,668,674,110,Aditi,1147,S1147
Aditi_1148_S1148,0,0,90148,0,90148,91994,92860,1846,Aditi,1148,S1148
Aditi_1149_S1149,0,0,5545,0,5545,5959,6016,414,Aditi,1149,S1149
Aditi_115_S115,0,0,0,0,0,1830,1830,1830,Aditi,115,S115
Aditi_1150_S1150,0,0,82,0,82,218,220,136,Aditi,1150,S1150
Aditi_1151_S1151,0,0,111009,0,111009,112643,113750,1634,Aditi,1151,S1151
Aditi_1152_S1152,0,0,215,0,215,479,482,264,Aditi,1152,S1152
Aditi_1153_S1153,0,0,88652,0,88652,89950,90800,1298,Aditi,1153,S1153
Aditi_1154_S1154,0,0,2,0,2,94,94,92,Aditi,1154,S1154
Aditi_1155_S1155,0,0,85,0,85,145,146,60,Aditi,1155,S1155
Aditi_1156_S1156,0,0,13959,0,13959,14239,14366,280,Aditi,1156,S1156
Aditi_1157_S1157,0,0,171,0,171,193,194,22,Aditi,1157,S1157
Aditi_1158_S1158,0,0,8,0,8,16,16,8,Aditi,1158,S1158
Aditi_1159_S1159,0,0,34422,0,34422,35200,35524,778,Aditi,1159,S1159
Aditi_116_S116,0,0,0,0,0,1782,1782,1782,Aditi,116,S116
Aditi_1160_S1160,0,0,62192,0,62192,63778,64372,1586,Aditi,1160,S1160
Aditi_1161_S1161,0,0,24,0,24,764,764,740,Aditi,1161,S1161
Aditi_1162_S1162,0,0,1190,0,1190,1504,1518,314,Aditi,1162,S1162
Aditi_1163_S1163,0,0,92,0,92,1038,1038,946,Aditi,1163,S1163
Aditi_1164_S1164,0,0,17,0,17,649,650,632,Aditi,1164,S1164
Aditi_1165_S1165,0,0,2,0,2,862,862,860,Aditi,1165,S1165
Aditi_1166_S1166,0,0,102,0,102,1830,1832,1728,Aditi,1166,S1166
Aditi_1167_S1167,0,0,5093,0,5093,5677,5746,584,Aditi,1167,S1167
Aditi_1168_S1168,0,0,71,0,71,955,960,884,Aditi,1168,S1168
Aditi_1169_S1169,0,0,78,0,78,950,950,872,Aditi,1169,S1169
Aditi_117_S117,0,0,0,0,0,1930,1930,1930,Aditi,117,S117
Aditi_1170_S1170,0,0,364,0,364,1250,1262,886,Aditi,1170,S1170
Aditi_1171_S1171,0,0,37,0,37,701,702,664,Aditi,1171,S1171
Aditi_1172_S1172,0,0,25,0,25,647,650,622,Aditi,1172,S1172
Aditi_1173_S1173,0,0,6,0,6,1102,1102,1096,Aditi,1173,S1173
Aditi_1174_S1174,0,0,108,0,108,1872,1876,1764,Aditi,1174,S1174
Aditi_1175_S1175,0,0,980,0,980,1256,1266,276,Aditi,1175,S1175
Aditi_1176_S1176,0,0,4416,0,4416,5862,5918,1446,Aditi,1176,S1176
Aditi_1177_S1177,0,0,15,0,15,1629,1630,1614,Aditi,1177,S1177
Aditi_1178_S1178,0,0,40,0,40,406,406,366,Aditi,1178,S1178
Aditi_1179_S1179,0,0,22578,0,22578,22884,23120,306,Aditi,1179,S1179
Aditi_118_S118,0,0,0,0,0,1742,1742,1742,Aditi,118,S118
Aditi_1180_S1180,0,0,1131,0,1131,1371,1380,240,Aditi,1180,S1180
Aditi_1181_S1181,0,0,288,0,288,1556,1562,1268,Aditi,1181,S1181
Aditi_1182_S1182,0,0,210,0,210,818,818,608,Aditi,1182,S1182
Aditi_1183_S1183,0,0,2,0,2,290,290,288,Aditi,1183,S1183
Aditi_1184_S1184,0,0,1130,0,1130,2264,2274,1134,Aditi,1184,S1184
Aditi_1185_S1185,0,0,636,0,636,1088,1096,452,Aditi,1185,S1185
Aditi_1186_S1186,0,0,81,0,81,197,198,116,Aditi,1186,S1186
Aditi_1187_S1187,0,0,2222,0,2222,3008,3042,786,Aditi,1187,S1187
Aditi_1188_S1188,0,0,2808,0,2808,4190,4222,1382,Aditi,1188,S1188
Aditi_1189_S1189,0,0,1286,0,1286,1884,1914,598,Aditi,1189,S1189
Aditi_119_S119,0,0,0,0,0,2324,2324,2324,Aditi,119,S119
Aditi_1190_S1190,0,0,186,0,186,1764,1764,1578,Aditi,1190,S1190
Aditi_1191_S1191,0,0,45,0,45,443,444,398,Aditi,1191,S1191
Aditi_1192_S1192,0,0,202,0,202,904,904,702,Aditi,1192,S1192
Aditi_1193_S1193,0,0,1644,0,1644,2212,2236,568,Aditi,1193,S1193
Aditi_1194_S1194,0,0,224,0,224,868,874,644,Aditi,1194,S1194
Aditi_1195_S1195,0,0,961,0,961,2759,2774,1798,Aditi,1195,S1195
Aditi_1196_S1196,0,0,309,0,309,671,672,362,Aditi,1196,S1196
Aditi_1197_S1197,0,0,6,0,6,1092,1092,1086,Aditi,1197,S1197
Aditi_1198_S1198,0,0,34,0,34,722,724,688,Aditi,1198,S1198
Aditi_1199_S1199,0,0,643,0,643,799,808,156,Aditi,1199,S1199
Aditi_12_S12,0,0,0,0,0,2006,2006,2006,Aditi,12,S12
Aditi_120_S120,0,46,0,0,46,15062,15066,15016,Aditi,120,S120
Aditi_1200_S1200,0,0,20,0,20,1238,1240,1218,Aditi,1200,S1200
Aditi_1201_S1201,0,0,2,0,2,1008,1008,1006,Aditi,1201,S1201
Aditi_1202_S1202,0,0,3479,0,3479,4219,4258,740,Aditi,1202,S1202
Aditi_1203_S1203,0,0,14250,0,14250,16764,16944,2514,Aditi,1203,S1203
Aditi_1204_S1204,0,0,12,0,12,382,382,370,Aditi,1204,S1204
Aditi_1205_S1205,0,0,76,0,76,146,148,70,Aditi,1205,S1205
Aditi_1206_S1206,0,0,7,0,7,2053,2054,2046,Aditi,1206,S1206
Aditi_1207_S1207,0,0,4,0,4,270,270,266,Aditi,1207,S1207
Aditi_1208_S1208,0,0,5078,0,5078,6344,6408,1266,Aditi,1208,S1208
Aditi_1209_S1209,0,0,8368,0,8368,9944,10034,1576,Aditi,1209,S1209
Aditi_121_S121,0,0,8,0,8,1834,1834,1826,Aditi,121,S121
Aditi_1210_S1210,0,0,4,0,4,82,82,78,Aditi,1210,S1210
Aditi_1211_S1211,0,0,12625,0,12625,14133,14280,1508,Aditi,1211,S1211
Aditi_1212_S1212,0,0,32,0,32,96,96,64,Aditi,1212,S1212
Aditi_1213_S1213,0,0,330,0,330,2832,2834,2502,Aditi,1213,S1213
Aditi_1214_S1214,0,0,34,0,34,1520,1522,1486,Aditi,1214,S1214
Aditi_1215_S1215,0,0,214,0,214,384,384,170,Aditi,1215,S1215
Aditi_1216_S1216,0,0,18,0,18,520,520,502,Aditi,1216,S1216
Aditi_1217_S1217,0,0,112,0,112,494,498,382,Aditi,1217,S1217
Aditi_1218_S1218,0,0,4953,0,4953,5435,5496,482,Aditi,1218,S1218
Aditi_1219_S1219,0,0,209,0,209,371,376,162,Aditi,1219,S1219
Aditi_122_S122,0,0,2,0,2,2264,2264,2262,Aditi,122,S122
Aditi_1220_S1220,0,0,7,0,7,1759,1760,1752,Aditi,1220,S1220
Aditi_1221_S1221,0,0,10,0,10,696,696,686,Aditi,1221,S1221
Aditi_1222_S1222,0,0,2,0,2,74,74,72,Aditi,1222,S1222
Aditi_1223_S1223,0,0,16,0,16,202,202,186,Aditi,1223,S1223
Aditi_1224_S1224,0,0,388,0,388,668,672,280,Aditi,1224,S1224
