Plate_well,Single_cells,CD45,Ery,Gran,Mono,NK,CD14_MFI,CD15_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,Sort_id,Sample,Day,FSC_A,FSC_W,SSC_A,CD33 640 670_30_A,CD34 640 780_60_A,CD45RA 640 730_45_A,CD90 561 582_15_A,CD49F 561 670_14_A,CD38 561 780_60_A,LIN 488 530_30_A,CD7_10 V405 450/50_A,L_D V405 525/50_A,CD45 V405 780_60_A,Time,Cell_seeded
1_E12,978,926,1,246,12,2,481,1456,146,26.9,1.31,2.9,1_E12,ARCH,28,156159,85957,26042,173,1719,20,-3,1036,1815,2,-152,130,3039,80486,HSC
1_F1,92,54,0,14,2,0,398,976,125,25.9,3.7,0,1_F1,ARCH,28,152723,87321,28966,1105,3068,90,4606,1847,987,86,-230,110,3128,103408,HSC
1_F2,790,770,1,509,107,0,594,3532,302,66.2,13.9,10.3,1_F2,ARCH,28,153745,89985,24531,67,3519,16,2176,3566,1273,81,-88,150,1847,103049,HSC
1_F3,33,16,1,4,0,0,427,1172,166,25,0,9.09,1_F3,ARCH,28,151310,84917,27869,370,1597,123,-172,1095,2231,98,-106,119,3008,101621,HSC
1_F4,218,199,0,119,32,0,567,3975,286,59.8,16.1,5.56,1_F4,ARCH,28,167270,87650,35354,671,3088,147,370,4318,2397,77,-205,202,2214,101087,HSC
1_F5,140,126,3,90,1,0,555,3345,565,72.6,0.81,28.6,1_F5,ARCH,28,149102,87538,38698,364,2965,117,2348,1204,2387,122,-111,22,1385,96353,HSC
1_F7,1014,999,2,281,14,0,324,1360,147,28.2,1.41,3.08,1_F7,ARCH,28,132665,85811,24827,232,1340,46,177,1527,1946,65,18,85,1241,92561,HSC
1_F8,145,138,1,54,30,0,846,3427,345,39.4,21.9,20,1_F8,ARCH,28,151684,86878,29814,552,1599,72,748,8829,2341,304,-111,192,1905,91653,HSC
1_F9,1168,1141,1,367,22,0,294,1392,157,32.2,1.93,8.54,1_F9,ARCH,28,126504,86403,22733,369,1573,36,233,10735,2091,165,-72,218,896,85181,HSC
1_G1,203,120,1,3,2,0,249,642,55.2,2.59,1.72,2.11,1_G1,ARCH,28,153395,85633,29551,566,1169,55,134,6156,2014,112,15,252,1871,105732,HSC
1_G2,69,45,0,6,1,0,445,793,133,13.6,2.27,5.71,1_G2,ARCH,28,168863,89636,60966,648,4547,18,4300,2453,589,250,-259,277,2696,107475,HSC
1_G3,76,35,0,5,2,0,387,914,104,14.7,5.88,8.16,1_G3,ARCH,28,172661,92282,41344,1084,3082,127,-105,4540,2666,-15,-299,310,1993,108267,HSC
1_G5,694,677,1,548,20,0,515,3253,502,80.9,2.95,0,1_G5,ARCH,28,189542,102161,32397,344,2889,65,2175,883,1095,14,-226,77,2459,114154,HSC
1_G6,1022,1007,0,414,228,0,982,3266,198,41.1,22.6,0,1_G6,ARCH,28,138011,89735,27947,590,3527,-4,536,2139,379,138,-193,174,2163,116229,HSC
1_G7,4481,4453,1,2283,900,1,831,3792,170,51.4,20.3,8.57,1_G7,ARCH,28,138331,85228,32816,1328,2853,-40,327,11337,1211,104,-243,645,2115,117384,HSC
1_G8,861,841,1,409,239,2,769,4125,96.4,49,28.6,0,1_G8,ARCH,28,141414,86741,28556,298,2183,55,245,3348,1755,48,-145,79,2480,117684,HSC
1_G9,433,404,1,160,42,0,403,1801,140,40.6,10.7,4.35,1_G9,ARCH,28,173912,92976,29390,904,1623,41,243,2312,951,99,-50,247,695,119483,HSC
1_G10,890,864,1,466,191,0,798,4125,70.6,54.2,22.2,3.7,1_G10,ARCH,28,169321,88574,33486,362,2412,190,2120,955,1478,-39,-99,223,3429,122077,HSC
1_G12,889,841,1,512,65,0,407,3101,113,61.6,7.82,8.93,1_G12,ARCH,28,124568,87166,26101,467,1766,99,533,1005,1060,48,-14,157,1142,123765,HSC
1_H1,107,38,1,5,2,1,451,1290,50.1,14.3,5.71,2.56,1_H1,ARCH,28,107519,84324,38853,461,3072,73,4056,1463,1868,60,-98,294,1735,139946,HSC
1_H7,148,118,0,64,2,0,540,2193,70.6,55.7,1.74,2.94,1_H7,ARCH,28,159116,86348,27805,675,3531,124,2489,1737,1765,61,-212,108,2134,130966,HSC
1_H8,985,948,1,184,25,1,380,1275,169,19.6,2.67,1.71,1_H8,ARCH,28,117709,83810,28731,116,1237,-12,2105,3162,1154,79,-17,130,1443,130035,HSC
1_H9,221,178,5,63,51,2,954,4041,82.2,37.1,30,6.38,1_H9,ARCH,28,147209,84519,26496,19,1605,31,253,1260,629,53,-38,146,1432,129645,HSC
1_H10,313,271,2,95,84,0,1051,4308,250,35.1,31,2.08,1_H10,ARCH,28,125594,85810,32237,-56,3014,190,850,1684,742,123,-142,161,2127,127051,HSC
1_H11,337,292,2,85,23,2,419,1591,143,30.1,8.16,7.35,1_H11,ARCH,28,119311,81923,34127,537,2526,75,-160,2915,1897,34,-196,201,1457,126005,HSC
1_H12,978,923,2,226,60,3,360,1512,148,24.8,6.59,4.17,1_H12,ARCH,28,130418,82090,20173,-182,1735,6,122,1859,1094,49,-89,542,786,125385,HSC
