sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
plate3_plate4_well_A3_GMP_BC-plate-_I_24_S215_L001,238,9775,2,10015,27431,33104,17416
plate3_plate4_well_A4_GMP_BC-plate-_I_32_S222_L001,1154,8602,5,9761,26075,31426,16314
plate3_plate4_well_A5_MLP_BC-plate-_I_40_S229_L001,784,6906,12,7702,21716,25988,14014
plate3_plate4_well_A6_MLP_BC-plate-_I_48_S236_L001,718,9405,205,10328,27198,32748,16870
plate3_plate4_well_A7_CMP_MEP_BC-plate-_I_56_S243_L001,34,9199,0,9233,24745,30224,15512
plate3_plate4_well_A8_CMP_MEP_BC-plate-_I_64_S250_L001,153,8949,22,9124,24856,29890,15732
plate3_plate4_well_A9_CD34-plus-_BC-plate-_I_72_S257_L001,15,29,0,44,8880,8924,8836
plate3_Schnider_1800_1199_BC-plate-_I_88_S271_L001,1515,5121,276,6912,20200,23918,13288
plate3_Schnider_1800_1378_BC-plate-_I_96_S277_L001,1667,5213,229,7109,19867,23616,12758
Tzah_NTC_PCR2_S291_L001,1,0,0,1,1,2,0
Tzah_T2_3_S283_L001,0,0,0,0,2,2,2
Tzah_T2_5_S285_L001,1,0,0,1,5,6,4
Tzah_T2_6_S286_L001,0,0,0,0,8,8,8
Tzah_T2_ssODN_only_S279_L001,0,0,0,0,2,2,2
Tzah_T2NP_only_S280_L001,0,0,0,0,6,6,6
